"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,345.29788800978,0,0,-8.28447820162439,-0.0322062860201904,4.93488404288217,6930.82227778795,64.0987273854424,4.14835354081558,0.00924835824904463,663.929499379864,23.6253508991859,0.0957937561763255,6266.89277840808,0.0381763982257317
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,37850.064823456,61.2220472766844,2.23546120617044,-7.50982103704042,45.5834883620225,4.82691171014572,22804.7823472017,5598.08780054316,22.8870953216281,0.24547867702978,9368.40034027759,98.8466077895691,0.410808583815629,13436.3820069241,0.482127873469479
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1094.39667000496,9.87523556037067,0.629830241415276,-1.35473816878716,8.78992344172652,5.73862215503901,7227.74869910462,1598.23822812984,4.91804296024095,0.221125317808549,2926.71387132346,22.5054649239032,0.404927452954476,4301.03482778116,0.497169295246441
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1859.41735231408,12.8570034957924,12.9457436075759,11.9869798635605,46.6282579085982,-3.58382367931951,-33631.5727781732,2659.72942161034,197.855526248899,-0.0790843009083565,-10699.254580963,588.099203678489,0.318131258729203,-22932.3181972102,-0.133143853273292
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,2488.21583899553,2.90253651928559,10.1539362211891,5.31214149781312,-13.8062627692558,-5.0029236822073,17589.1516871402,5114.7330450991,94.2366687665086,0.290789069085042,13289.8352878143,127.639270950144,0.75556999701872,4299.31639932587,0.781840275811706
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1596.42990106664,11.6409008999066,48.2990165394345,82.1930557642636,3.91560164356033,-5.35492828519774,-53146.4975110457,3709.66812084979,80.5608737720849,-0.0698008014559904,1731.58357431577,223.079485133566,-0.0325813300106161,-54878.0810853615,0.049148759601617
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,239.574049764536,0,0,-5.55536767473389,1.66755583820325,3.77798758720999,5455.6070386637,585.739271391625,2.84403774159907,0.107364637379582,1087.39490269245,24.6889300932931,0.199316940348915,4368.21213597125,0.144705898071503
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,65.4482270350821,4.36513042200959,18.9167330853317,36.6760513916039,0.261432860119232,-5.24518825502875,-26178.126249438,756.132720200382,21.3913546571197,-0.0288841421649349,-763.81566231656,95.9009176634716,0.0291776292557592,-25414.3105871215,0.0109625517297102
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,86.6348116454531,8.25920031000926,24.73564792765,30.5681774342162,0.734787230862229,-4.92752616950905,-27670.6014737528,943.636313174703,30.2233310551687,-0.0341024864988857,-1302.4903306653,126.10555345737,0.0470712691916289,-26368.1111430875,0.0125164686627018
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,55.3900550412936,1.22066293228901,0.313395345835801,2.72373454923554,0.911035878271753,-4.39172175179617,-1506.97323894497,143.735445382561,1.43322060177973,-0.0953802241924284,125.565782642873,8.13335089833422,-0.0833231668604688,-1632.53902158784,0.0811630857574762
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,49.1233921951925,0.454732668879148,0.0315051820919565,0.132538657178653,0.254317883181262,-2.88286063248918,-59.033552794004,28.647587477929,0.271829065006488,-0.485276357631634,27.9500302534937,0.930229623536491,-0.473460073647008,-86.9835830474977,0.216415350742439
