unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;01/10/2023 12:48;01/10/2023 15:35;02/10/2023 08:37;02/10/2023 10:49;03/10/2023 10:06;03/10/2023 14:39;04/10/2023 14:31;05/10/2023 10:33;05/10/2023 15:04;06/10/2023 10:09;06/10/2023 15:28;07/10/2023 07:56;07/10/2023 09:45;08/10/2023 09:21;08/10/2023 11:44;09/10/2023 10:02;09/10/2023 15:13;10/10/2023 09:56
29:01:01;29:01:01;Exp60;WW_R1;Sorghum;Exp60_317_SSM275;Exp60_317_SSM275;1;Exp60_317_SSM275_WW_R1;;26871.4;27946.8;31168.8;30137.9;38873.4;50184.6;68287.3;91293.1;73596.5;91554.4;56517.3;89288.1;50258.5;109979;68980.2;93545.6;96998.6;82894.7
29:01:02;29:01:02;Exp60;WW_R1;Sorghum;Exp60_59_IS6745;Exp60_59_IS6745;1;Exp60_59_IS6745_WW_R1;;53606.4;75504.9;79274.1;58534.3;69680.1;40718.8;59868.6;81379.4;116103;91930.5;61032;56423.7;80109.1;88773.3;46233.1;64738.5;100083;86249.6
29:02:01;29:02:01;Exp60;WW_R1;Sorghum;Exp60_177_IS21126;Exp60_177_IS21126;1;Exp60_177_IS21126_WW_R1;;40941;43444;50004.1;45979.7;65215.6;61793.8;25674.6;81593.7;68893.2;51928.7;99770;111533;55177.9;41893.1;139694;116320;127120;150216
29:02:02;29:02:02;Exp60;WW_R1;Sorghum;Exp60_32_IS3583;Exp60_32_IS3583;1;Exp60_32_IS3583_WW_R1;;54801;84746.4;84332.8;77886.5;8407.87;58598.9;48115;92583.1;62770.5;132889;81486.8;60850.7;122734;67520.2;81766.6;69432;98525;148953
29:03:01;29:03:01;Exp60;WW_R1;Sorghum;Exp60_80_IS9911;Exp60_80_IS9911;1;Exp60_80_IS9911_WW_R1;;80328.6;73897.7;85525.8;87090.2;59010;56181.1;68257.5;99330.5;96303.1;61908.7;7814.6;112702;113524;76033.4;105560;72822.2;94773.4;28280.3
29:03:02;29:03:02;Exp60;WW_R1;Sorghum;Exp60_314_SSM205;Exp60_314_SSM205;1;Exp60_314_SSM205_WW_R1;;58429.3;44130.4;51235.3;58721.9;26181.7;55019.4;46504;103052;73837.7;76305.3;67424.5;71207.7;114797;84965.5;49724.3;68095.7;90960.3;123574
29:04:01;29:04:01;Exp60;WW_R1;Sorghum;Exp60_33_IS3672;Exp60_33_IS3672;1;Exp60_33_IS3672_WW_R1;;28925.1;79474.8;80325.2;30670.7;69226;72164.3;76231.8;49537.2;67836.6;110222;61128.7;95817.9;131047;94942.3;95959.5;108505;158445;89133.2
29:04:02;29:04:02;Exp60;WW_R1;Sorghum;Exp60_294_IS32986;Exp60_294_IS32986;1;Exp60_294_IS32986_WW_R1;;55115.4;67378.8;65835.3;55234.9;55125.5;52078.7;55243.5;79584;95529.5;73490.3;2412.48;76498.8;84939.5;118534;97039;98912.3;42486.4;123897
29:05:01;29:05:01;Exp60;WW_R1;Sorghum;Exp60_230_IS25442;Exp60_230_IS25442;1;Exp60_230_IS25442_WW_R1;;54422.7;58106.9;57775.7;68458.7;50743.4;71598.4;40847.4;55201.5;73646.6;111148;73661.2;132933;119186;105779;131095;79519.7;135935;107656
29:05:02;29:05:02;Exp60;WW_R1;Sorghum;Exp60_69_IS8685;Exp60_69_IS8685;1;Exp60_69_IS8685_WW_R1;;40019.6;80078.4;80819.4;36499.5;78015.9;67586;48666.9;64352.2;111920;68814.5;72658.6;114283;103979;86273.8;89383.3;74039.7;105064;146857
29:06:01;29:06:01;Exp60;WW_R1;Sorghum;Exp60_15_IS2416;Exp60_15_IS2416;1;Exp60_15_IS2416_WW_R1;;1133.34;81447.7;100692;19.742;70953.5;57936;50350.9;74084.4;68347.4;66445.7;59122.3;103652;128713;102583;79343.6;77867;128458;31838.1
29:06:02;29:06:02;Exp60;WW_R1;Sorghum;Exp60_175_IS20842;Exp60_175_IS20842;1;Exp60_175_IS20842_WW_R1;;64859.4;42225.2;41852;57280.6;100853;125671;41463;73101.7;77013.8;78500.7;101591;62819.5;114556;83225;88364;70413.1;133912;111510
29:07:01;29:07:01;Exp60;WW_R1;Sorghum;Exp60_256_IS29496;Exp60_256_IS29496;1;Exp60_256_IS29496_WW_R1;;10388.9;74080.1;68683;14248.7;85456.8;88219.2;92687.4;51001.6;106411;81534.7;92187.9;104476;103913;10604.2;92869.7;93729.6;126115;96359.5
29:07:02;29:07:02;Exp60;WW_R1;Sorghum;Exp60_105_IS14259;Exp60_105_IS14259;1;Exp60_105_IS14259_WW_R1;;26207.4;2205.21;1024.94;29606;54631.4;49857.6;59525.7;65433.9;67469.5;80640.1;81920.9;56120.6;76747.1;66062;79076.1;77746.5;148438;97165.5
29:08:01;29:08:01;Exp60;WW_R1;Sorghum;Exp60_141_IS18879;Exp60_141_IS18879;1;Exp60_141_IS18879_WW_R1;;27169.8;33469;31329.3;33686.1;67932.8;71015.4;47216.8;107001;94050.4;97372.2;81040.7;98048.7;130974;74085.3;89518.1;77249.5;109884;121210
29:08:02;29:08:02;Exp60;WW_R1;Sorghum;Exp60_278_IS31123;Exp60_278_IS31123;1;Exp60_278_IS31123_WW_R1;;30204.4;42545.2;44905.1;35644.2;49307.9;70466.9;63125.4;77655;93156.4;106013;68546.9;76002.2;86017.8;14603;11349;79706.9;113430;97031.3
29:09:01;29:09:01;Exp60;WW_R1;Sorghum;Exp60_223_IS24786;Exp60_223_IS24786;1;Exp60_223_IS24786_WW_R1;;34.227;63590.6;66766.4;0;56984.8;64514.3;81550.5;103133;12384.2;78544.9;93821.7;108277;100931;88994.2;80958.2;100709;142478;146458
29:09:02;29:09:02;Exp60;WW_R1;Sorghum;Exp60_50_IS5720;Exp60_50_IS5720;1;Exp60_50_IS5720_WW_R1;;43359.7;22049.8;27338;47907.4;49116.6;70863.8;77470.1;83497.5;124311;83352.9;83444.3;81517.3;67424.4;77536.2;101484;91885.4;123537;121116
29:10:01;29:10:01;Exp60;WW_R1;Sorghum;Exp60_108_IS14317;Exp60_108_IS14317;1;Exp60_108_IS14317_WW_R1;;21247;22012.3;23390.8;25624.6;74700.4;54651.8;79445.1;83972.1;89366.5;90268.2;87524.2;105943;114950;90250.2;9482.8;96759.3;89995.2;5935.79
29:10:02;29:10:02;Exp60;WW_R1;Sorghum;Exp60_143_IS18922;Exp60_143_IS18922;1;Exp60_143_IS18922_WW_R1;;64436.4;88723.5;91362.4;67718.9;66298.5;27544.7;79779.6;80968.9;96755.2;110789;95638.9;90387.8;80164.7;104959;26915;65057;115387;115650
29:11:01;29:11:01;Exp60;WW_R1;Sorghum;Exp60_293_IS32569;Exp60_293_IS32569;1;Exp60_293_IS32569_WW_R1;;57583.3;49444.1;54897.6;60075.2;66497.6;73666.6;79665.2;68978.1;18841.8;72365.2;124923;122242;70049.2;104874;104751;134792;113229;50097.6
29:11:02;29:11:02;Exp60;WW_R1;Sorghum;Exp60_156_IS20097;Exp60_156_IS20097;1;Exp60_156_IS20097_WW_R1;;50423;63623.7;77739.5;61876.4;41876.3;47288.7;71414;61148.4;86720.2;71024.4;85465.7;96017;6631.54;95612.4;92707.4;74019;100629;63748.4
29:12:01;29:12:01;Exp60;WW_R1;Sorghum;Exp60_131_IS16545;Exp60_131_IS16545;1;Exp60_131_IS16545_WW_R1;;63425.7;97288.6;101157;75338.2;33213.2;36846;62322.3;84427.4;88593;72688.9;102353;93414.2;109750;68638.7;95933;53452.6;104812;69558.5
29:12:02;29:12:02;Exp60;WW_R1;Sorghum;Exp60_241_IS27164;Exp60_241_IS27164;1;Exp60_241_IS27164_WW_R1;;60319.5;65410.2;67482;63477.8;26684.9;55905.9;112280;58119;84970;79469.8;105474;73664.3;100387;109538;93199.4;67807.8;147877;0
30:01:01;30:01:01;Exp60;WW_R1;Sorghum;Exp60_257_IS29569;Exp60_257_IS29569;1;Exp60_257_IS29569_WW_R1;;17366.2;35244.4;40436.7;25272.7;35622.5;39488;58363.2;69354.1;64972.5;54727;60436.6;83891.5;52668.9;83587.6;71096.4;120386;148143;124904
30:01:02;30:01:02;Exp60;WW_R1;Sorghum;Exp60_217_IS23992;Exp60_217_IS23992;1;Exp60_217_IS23992_WW_R1;;79253.7;47036.3;55843.2;76004.4;60723.5;52494.2;38370.9;111644;79464.2;94418.5;88833.8;65842.3;66031.4;60641.9;106295;88729.3;86181.5;103069
30:02:01;30:02:01;Exp60;WW_R1;Sorghum;Exp60_207_IS23254;Exp60_207_IS23254;1;Exp60_207_IS23254_WW_R1;;35294.9;10897.4;15374.4;48595.5;58535.9;67183.6;76331.8;62485.6;64219.5;79680.4;94582.4;91406.1;121981;29545.9;120977;115788;119355;136002
30:02:02;30:02:02;Exp60;WW_R1;Sorghum;Exp60_119_IS14963;Exp60_119_IS14963;1;Exp60_119_IS14963_WW_R1;;73039.7;47874.5;59605.2;80825.9;84503.6;18367.9;87814;51403.3;46207.1;149281;102072;89066.2;131159;65102.5;88533.9;48191.7;126557;98716.3
30:03:01;30:03:01;Exp60;WW_R1;Sorghum;Exp60_42_IS4112;Exp60_42_IS4112;1;Exp60_42_IS4112_WW_R1;;59933.5;42223.5;52284;74365.8;98677.9;65648.6;110753;107057;61655.7;103266;136193;64458.9;44831.1;58195;87940.6;97778.8;131604;143924
30:03:02;30:03:02;Exp60;WW_R1;Sorghum;Exp60_274_IS30503;Exp60_274_IS30503;1;Exp60_274_IS30503_WW_R1;;37477.8;55260.7;56451.8;47835.4;67857.2;27431.3;63840.3;74450.1;67657.3;72706.4;17339.6;79609;90223.7;70307.9;101600;76894.2;126182;95261.6
30:04:01;30:04:01;Exp60;WW_R1;Sorghum;Exp60_49_IS5622;Exp60_49_IS5622;1;Exp60_49_IS5622_WW_R1;;57667.5;44629.9;58386.3;73902.9;37403.2;60433.9;59675.4;88089.1;38346.7;88648.4;88959.5;68755.8;82331;64182.8;87334;135865;141579;140710
30:04:02;30:04:02;Exp60;WW_R1;Sorghum;Exp60_201_IS23048;Exp60_201_IS23048;1;Exp60_201_IS23048_WW_R1;;56399;29641.6;32228.6;57878.1;66161;51472.6;47635;111332;75069.4;101095;89919.8;82226.3;87322.3;95979.9;106720;80514.4;99373.3;86852.2
30:05:01;30:05:01;Exp60;WW_R2;Sorghum;Exp60_109_IS14331;Exp60_109_IS14331;2;Exp60_109_IS14331_WW_R2;;42751.9;43409.6;33165.9;53848.5;77271.1;47682.4;44211.2;72538.9;68351.1;91311.1;66996;112001;111266;22099.6;81811.8;94573.8;112511;151701
30:05:02;30:05:02;Exp60;WW_R2;Sorghum;Exp60_213_IS23777;Exp60_213_IS23777;2;Exp60_213_IS23777_WW_R2;;57600.9;80905.1;98415.3;78627;52091.4;68642.1;50822.9;143538;89087.3;120232;6024.29;88357.9;85131;34476.2;95285;107536;114355;124000
30:06:01;30:06:01;Exp60;WW_R2;Sorghum;Exp60_184_IS21991;Exp60_184_IS21991;2;Exp60_184_IS21991_WW_R2;;65209.9;49920.4;55466;72229.6;1570.31;75231.6;102270;72381;80594.2;81248.5;70134.9;96819;87570.6;13.838;79090.7;96653;108292;143231
30:06:02;30:06:02;Exp60;WW_R2;Sorghum;Exp60_8_IS2156;Exp60_8_IS2156;2;Exp60_8_IS2156_WW_R2;;33078.8;54329;47478.9;42668.9;74372.3;71460.2;45921.1;75041.4;81240.2;137035;77159.1;83512;116309;173.508;80830.4;107039;112797;95364.8
30:07:01;30:07:01;Exp60;WW_R2;Sorghum;Exp60_82_IS10801;Exp60_82_IS10801;2;Exp60_82_IS10801_WW_R2;;49748.1;36941.3;39100.9;61881.1;18372.9;79625.4;59081.1;95809;83936;91344.2;69835.4;107449;50423.9;44.748;143747;76431;106602;120936
30:07:02;30:07:02;Exp60;WW_R2;Sorghum;Exp60_129_IS16186;Exp60_129_IS16186;2;Exp60_129_IS16186_WW_R2;;1729.74;75406.4;73092.4;440.043;52155.8;66019.9;99738;52623.4;89026.7;96673.5;81651.5;80270.4;91741.8;2677.01;108567;89799.6;89529.2;119676
30:08:01;30:08:01;Exp60;WW_R2;Sorghum;Exp60_295_IS33173;Exp60_295_IS33173;2;Exp60_295_IS33173_WW_R2;;16928.1;53486.8;68991.3;21322.3;47704.7;71060.4;64280.3;112627;82719;93035;127695;127362;65859.2;1863.9;105040;87258.8;142670;138772
30:08:02;30:08:02;Exp60;WW_R2;Sorghum;Exp60_31_IS3511;Exp60_31_IS3511;2;Exp60_31_IS3511_WW_R2;;36923.4;54459.4;56018.6;44839.8;43944.3;39821.3;34054.1;95349;70262.1;85730.2;90062.2;94456.5;69548.5;569.83;82870;84750.6;119069;49593.3
30:09:01;30:09:01;Exp60;WW_R2;Sorghum;Exp60_39_IS3971;Exp60_39_IS3971;2;Exp60_39_IS3971_WW_R2;;45745.4;78685.3;91237.4;50887.2;188.042;56067.9;64257.5;15220.3;96885.7;71201.9;95429.1;108970;103297;2.769;99897.9;92384.8;139683;156458
30:09:02;30:09:02;Exp60;WW_R2;Sorghum;Exp60_299_IS33353;Exp60_299_IS33353;2;Exp60_299_IS33353_WW_R2;;18385.8;64805.9;69905.3;24819.6;48210.6;23851.8;14792.8;121979;72174.6;92927;93845.8;59834.5;79641.9;13.091;111832;51535.7;112799;82786
30:10:01;30:10:01;Exp60;WW_R2;Sorghum;Exp60_312_SSM1592;Exp60_312_SSM1592;2;Exp60_312_SSM1592_WW_R2;;12707.6;47949.6;55748.8;16005;35299.6;56950.4;87059.7;87110.7;121938;103358;16454.7;127480;119440;645.549;78422.8;102991;119750;97450.3
30:10:02;30:10:02;Exp60;WW_R2;Sorghum;Exp60_285_IS31681;Exp60_285_IS31681;2;Exp60_285_IS31681_WW_R2;;71544.8;12041;11562.8;81883.3;78146.8;73328.5;35492.6;91412.4;66498.2;155503;73701.2;66518.9;56023.2;5024.37;86489.3;80654.8;128033;128951
30:11:01;30:11:01;Exp60;WW_R2;Sorghum;Exp60_225_IS24940;Exp60_225_IS24940;2;Exp60_225_IS24940_WW_R2;;39001.3;40328.5;43648.5;52786.7;67895.8;61794.3;98965.2;26204.1;31160.8;102519;56230.2;132372;108087;266.671;108061;97075.6;113846;119698
30:11:02;30:11:02;Exp60;WW_R2;Sorghum;Exp60_119_IS14963;Exp60_119_IS14963;2;Exp60_119_IS14963_WW_R2;;53963.3;63546;60092.4;67620.3;71293.8;34836.6;86887.5;100087;22393.9;153891;81912.7;125404;129985;11.655;40601.8;56709.7;79831.3;106415
30:12:01;30:12:01;Exp60;WW_R2;Sorghum;Exp60_313_SSM19;Exp60_313_SSM19;2;Exp60_313_SSM19_WW_R2;;75783.9;27651.7;31320.8;86246.8;83793.6;44874.7;91674.9;85662;73756;138665;97807.8;77058.7;112232;2424.4;73147.3;94186;137055;114660
30:12:02;30:12:02;Exp60;WW_R2;Sorghum;Exp60_179_IS21425;Exp60_179_IS21425;2;Exp60_179_IS21425_WW_R2;;49854.5;23193.4;21920.6;56481.3;71665.3;32823.8;67376.7;80030.9;90029.7;113374;79758.6;82032.4;136770;8.099;111690;69828.2;134305;109845
31:01:01;31:01:01;Exp60;WW_R2;Sorghum;Exp60_316_SSM249;Exp60_316_SSM249;2;Exp60_316_SSM249_WW_R2;;33766.5;39630.8;48626.3;45170.2;33262.1;37490.8;45156.1;62607.2;61406.9;74959.5;53976.8;74251.7;94821.8;77929.4;111965;84875.2;109251;114316
31:01:02;31:01:02;Exp60;WW_R2;Sorghum;Exp60_152_IS19847;Exp60_152_IS19847;2;Exp60_152_IS19847_WW_R2;;41539.5;55188.9;60425.3;65011.5;89312;38418;83873.6;69950.4;82965.8;56073;230.545;6605.43;4165.32;79087.6;114194;77572.7;152926;88874.4
31:02:01;31:02:01;Exp60;WW_R2;Sorghum;Exp60_257_IS29569;Exp60_257_IS29569;2;Exp60_257_IS29569_WW_R2;;11300.8;47982;58328.9;15713.7;51073.6;56488.8;67110;57940.3;82583.9;134061;12143.4;83932.6;81757;97438.2;49333.6;64698.3;91152.2;110882
