"","unit","old_unit","Experiment","Treatment","Species","Genotype","G..Alias","Replicates"
"55","133:12:02","133:12:02","Exp60","WW_R1","Sorghum","Exp60_242_IS27390","Exp60_242_IS27390",1
"56","133:01:01","133:01:01","Exp60","WW_R1","Sorghum","Exp60_199_IS22986","Exp60_199_IS22986",1
"57","133:01:02","133:01:02","Exp60","WW_R1","Sorghum","Exp60_91_IS11758","Exp60_91_IS11758",1
"58","133:02:01","133:02:01","Exp60","WW_R1","Sorghum","Exp60_160_IS20665","Exp60_160_IS20665",1
"59","133:02:02","133:02:02","Exp60","WW_R1","Sorghum","Exp60_247_IS27855","Exp60_247_IS27855",1
"60","133:03:01","133:03:01","Exp60","WW_R1","Sorghum","Exp60_275_IS30619","Exp60_275_IS30619",1
"61","133:03:02","133:03:02","Exp60","WW_R1","Sorghum","Exp60_226_IS24953","Exp60_226_IS24953",1
"62","133:04:01","133:04:01","Exp60","WW_R1","Sorghum","Exp60_299_IS33353","Exp60_299_IS33353",1
"63","133:04:02","133:04:02","Exp60","WW_R1","Sorghum","Exp60_169_IS20743","Exp60_169_IS20743",1
"64","133:05:01","133:05:01","Exp60","WW_R1","Sorghum","Exp60_262_IS29872","Exp60_262_IS29872",1
"65","133:05:02","133:05:02","Exp60","WW_R1","Sorghum","Exp60_206_IS23178","Exp60_206_IS23178",1
"66","133:06:01","133:06:01","Exp60","WW_R1","Sorghum","Exp60_70_IS8882","Exp60_70_IS8882",1
"67","133:06:02","133:06:02","Exp60","WW_R1","Sorghum","Exp60_107_IS14298","Exp60_107_IS14298",1
"68","133:07:01","133:07:01","Exp60","WW_R1","Sorghum","Exp60_110_IS14351","Exp60_110_IS14351",1
"69","133:07:02","133:07:02","Exp60","WW_R1","Sorghum","Exp60_13_IS2367","Exp60_13_IS2367",1
"70","133:08:01","133:08:01","Exp60","WW_R1","Sorghum","Exp60_161_IS20681","Exp60_161_IS20681",1
"71","133:08:02","133:08:02","Exp60","WW_R1","Sorghum","Exp60_264_IS29911","Exp60_264_IS29911",1
"72","133:09:01","133:09:01","Exp60","WW_R1","Sorghum","Exp60_45_IS4776","Exp60_45_IS4776",1
"73","133:09:02","133:09:02","Exp60","WW_R1","Sorghum","Exp60_61_Phule Chitra","Exp60_61_Phule Chitra",1
"74","134:10:01","134:10:01","Exp60","WW_R2","Sorghum","Exp60_135_IS18800","Exp60_135_IS18800",2
"75","134:10:02","134:10:02","Exp60","WW_R2","Sorghum","Exp60_178_IS21401","Exp60_178_IS21401",2
"76","134:11:01","134:11:01","Exp60","WW_R2","Sorghum","Exp60_306_SSM1057","Exp60_306_SSM1057",2
"77","134:11:02","134:11:02","Exp60","WW_R2","Sorghum","Exp60_232_IS25702","Exp60_232_IS25702",2
"78","134:12:01","134:12:01","Exp60","WW_R2","Sorghum","Exp60_201_IS23048","Exp60_201_IS23048",2
"79","134:12:02","134:12:02","Exp60","WW_R2","Sorghum","Exp60_57_IS6413","Exp60_57_IS6413",2
"80","134:01:01","134:01:01","Exp60","WW_R1","Sorghum","Exp60_111_IS14414","Exp60_111_IS14414",1
"81","134:01:02","134:01:02","Exp60","WW_R1","Sorghum","Exp60_88_IS11026","Exp60_88_IS11026",1
