"","Date","TS","Temp","RH","VPD","SR","WS"
"1",2023-10-01,"00:00:00",26.8,85,NA,0,0
"2",2023-10-01,"00:15:00",26.74,86,NA,0,0
"3",2023-10-01,"00:30:00",26.76,86,NA,0,0
"4",2023-10-01,"00:45:00",26.88,86,NA,0,0
"5",2023-10-01,"01:00:00",26.95,86,NA,0,0
"6",2023-10-01,"01:15:00",26.84,85,NA,0,0
"7",2023-10-01,"01:30:00",26.71,86,NA,0,0
"8",2023-10-01,"01:45:00",26.51,86,NA,0,0
"9",2023-10-01,"02:00:00",26.42,86,NA,0,0
"10",2023-10-01,"02:15:00",26.3,86,NA,0,0
"11",2023-10-01,"02:30:00",26.15,87,NA,0,0
"12",2023-10-01,"02:45:00",25.99,87,NA,0,0
"13",2023-10-01,"03:00:00",25.78,87,NA,0,0
"14",2023-10-01,"03:15:00",25.82,87,NA,0,0
"15",2023-10-01,"03:30:00",25.8,88,NA,0,0
"16",2023-10-01,"03:45:00",25.75,88,NA,0,0
"17",2023-10-01,"04:00:00",25.67,88,NA,0,0
"18",2023-10-01,"04:15:00",25.5,88,NA,0,0
"19",2023-10-01,"04:30:00",25.42,89,NA,0,0
"20",2023-10-01,"04:45:00",25.24,90,NA,0,0
"21",2023-10-01,"05:00:00",25.22,88,NA,0,0
"22",2023-10-01,"05:15:00",25.23,89,NA,0,0
"23",2023-10-01,"05:30:00",25.1,89,NA,0,0
"24",2023-10-01,"05:45:00",25.09,88,NA,0,0
"25",2023-10-01,"06:00:00",25.08,89,NA,0,0
"26",2023-10-01,"06:15:00",25.02,90,NA,0,0
"27",2023-10-01,"06:30:00",24.92,89,NA,0,0.038
"28",2023-10-01,"06:45:00",24.79,90,NA,0,0
"29",2023-10-01,"07:00:00",24.68,90,NA,0,0.777
"30",2023-10-01,"07:15:00",24.58,90,NA,0,0.626
"31",2023-10-01,"07:30:00",24.48,90,NA,0,0
"32",2023-10-01,"07:45:00",24.61,91,NA,9.17,0
"33",2023-10-01,"08:00:00",24.73,91,NA,19,0
"34",2023-10-01,"08:15:00",24.94,91,NA,20.12,0
"35",2023-10-01,"08:30:00",25.02,91,NA,26.83,0.013
"36",2023-10-01,"08:45:00",25.33,91,NA,48.06,0
"37",2023-10-01,"09:00:00",26.16,90,NA,72.75,1.343
"38",2023-10-01,"09:15:00",26.55,86,NA,53.64,1.593
"39",2023-10-01,"09:30:00",26.67,85,NA,67.05,1.687
"40",2023-10-01,"09:45:00",26.9,84,NA,85.7,0.714
"41",2023-10-01,"10:00:00",27.31,84,NA,80.5,0.418
"42",2023-10-01,"10:15:00",27.59,84,NA,164.3,1.325
"43",2023-10-01,"10:30:00",27.98,81,NA,184.5,2.659
"44",2023-10-01,"10:45:00",28.69,79,NA,153.1,2.314
"45",2023-10-01,"11:00:00",28.79,78,NA,156.1,2.502
"46",2023-10-01,"11:15:00",29.72,75,NA,201.8,2.719
"47",2023-10-01,"11:30:00",30.32,73,NA,292.9,2.788
"48",2023-10-01,"11:45:00",31.14,70,NA,109.7,2.238
"49",2023-10-01,"12:00:00",31.2,71,NA,347.2,3.445
"50",2023-10-01,"12:15:00",31.27,70,NA,128.5,1.924
"51",2023-10-01,"12:30:00",31.84,68,NA,102.8,2.631
"52",2023-10-01,"12:45:00",31.82,67,NA,95.5,3
"53",2023-10-01,"13:00:00",32.22,68,NA,122.4,2.135
"54",2023-10-01,"13:15:00",32.62,66,NA,149.1,1.904
"55",2023-10-01,"13:30:00",32.59,67,NA,368.2,0.977
"56",2023-10-01,"13:45:00",33.05,65,NA,61.08,1.877
"57",2023-10-01,"14:00:00",32.76,69,NA,395.1,0.632
"58",2023-10-01,"14:15:00",32.88,66,NA,223.6,1.356
"59",2023-10-01,"14:30:00",32.66,65,NA,87.1,1.15
"60",2023-10-01,"14:45:00",32.04,67,NA,80.4,0.488
"61",2023-10-01,"15:00:00",32.53,67,NA,385.2,1.372
"62",2023-10-01,"15:15:00",32.64,67,NA,346,2.901
"63",2023-10-01,"15:30:00",33.47,65,NA,301.3,2.417
"64",2023-10-01,"15:45:00",34.36,61,NA,138.6,0.516
"65",2023-10-01,"16:00:00",34.33,60,NA,96.4,2.1
"66",2023-10-01,"16:15:00",34.65,58,NA,275.8,1.846
"67",2023-10-01,"16:30:00",34.21,58,NA,206.1,0.412
"68",2023-10-01,"16:45:00",34.27,62,NA,252.7,2.532
"69",2023-10-01,"17:00:00",33.59,60,NA,111.1,3.342
"70",2023-10-01,"17:15:00",32.74,64,NA,109.8,1.64
"71",2023-10-01,"17:30:00",33.11,62,NA,172,2.514
"72",2023-10-01,"17:45:00",32.19,66,NA,53.6,4.129
"73",2023-10-01,"18:00:00",31.32,70,NA,40.2,3.317
"74",2023-10-01,"18:15:00",30.8,71,NA,33.5,2.925
