"";"sector";"genotype";"g_alias";"treatment";"timestamp";"Mass..g"
"865092";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 07:16:00";1806250
"865093";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 07:32:00";1806250
"865094";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 07:46:00";1806250
"865095";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 08:02:00";1806250
"865096";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 08:16:00";1806250
"865097";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 08:32:00";1806250
"865098";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 08:46:00";1806250
"865099";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 09:02:00";1806250
"865100";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 09:16:00";1806250
"865101";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 14:01:00";1806250
"865102";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 14:17:00";1806250
"865103";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 14:31:00";1806250
"865104";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 14:47:00";1806250
"865105";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 15:01:00";1806250
"865106";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 15:32:00";1806250
"865107";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 15:46:00";1806250
"865108";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 16:17:00";1806250
"865109";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 16:31:00";1806250
"865110";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 16:47:00";1806250
"865111";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 17:01:00";1806250
"865112";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 17:17:00";1806250
"865113";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 17:31:00";1806250
"865114";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 17:47:00";1806250
"865115";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 18:01:00";1806250
"865116";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 18:17:00";1806250
"865117";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 18:31:00";1806250
"865118";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 18:47:00";1806250
"865119";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 19:01:00";1806250
"865120";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 19:17:00";1806250
"865121";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 19:31:00";1806250
"865122";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 20:02:00";1806250
"865123";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 20:16:00";1806250
"865124";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 20:32:00";1806250
"865125";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 20:46:00";1806250
"865126";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 21:02:00";1806250
"865127";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 21:16:00";1806250
"865128";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 21:32:00";1806250
"865129";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 21:46:00";1806250
"865130";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 22:02:00";1806250
"865131";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 22:16:00";1806250
"865132";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 23:17:00";1806250
"865133";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 23:31:00";1806250
"865134";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-23 23:47:00";1806250
"865135";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 00:01:00";1806250
"865136";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 00:17:00";1806250
"865137";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 00:31:00";1806250
"865138";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 00:47:00";1806250
"865139";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 01:01:00";1806250
"865140";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 01:17:00";1806250
"865141";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 01:31:00";1806250
"865142";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 01:47:00";1806250
"865143";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 02:01:00";1806250
"865144";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 02:17:00";1806250
"865145";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 02:31:00";1806250
"865146";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 02:47:00";1806250
"865147";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 03:01:00";1806250
"865148";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 10:01:00";1806250
"865149";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 10:17:00";1806250
"865150";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 10:31:00";1806250
"865151";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 10:47:00";1806250
"865152";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 11:01:00";1806250
"865153";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 11:17:00";1806250
"865154";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 11:31:00";1806250
"865155";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 11:47:00";1806250
"865156";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 12:01:00";1806250
"865157";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 12:17:00";1806250
"865158";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 12:31:00";1806250
"865159";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 12:47:00";1806250
"865160";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 13:01:00";1806250
"865161";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 13:17:00";1806250
"865162";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 13:31:00";1806250
"865163";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 13:47:00";1806250
"865164";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 14:01:00";1806250
"865165";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 14:17:00";1806250
"865166";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 14:31:00";1806250
"865167";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 14:47:00";1806250
"865168";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 15:01:00";1806250
"865169";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 15:17:00";1806250
"865170";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 15:31:00";1806250
"865171";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 15:47:00";1806250
"865172";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 16:01:00";1806250
"865173";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 22:31:00";1806250
"865174";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 22:47:00";1806250
"865175";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 23:01:00";1806250
"865176";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 23:17:00";1806250
"865177";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 23:31:00";1806250
"865178";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-24 23:47:00";1806250
"865179";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 00:01:00";1806250
"865180";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 00:17:00";1806250
"865181";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 00:31:00";1806250
"865182";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 00:47:00";1806250
"865183";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 01:01:00";1806250
"865184";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 01:17:00";1806250
"865185";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 01:31:00";1806250
"865186";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 01:47:00";1806250
"865187";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 02:01:00";1806250
"865188";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 03:02:00";1806250
"865189";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 03:16:00";1806250
"865190";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 04:32:00";1806250
"865191";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 04:46:00";1806250
"865192";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 05:17:00";1806250
"865193";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 05:31:00";1806250
"865194";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 05:47:00";1806250
"865195";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 06:01:00";1806250
"865196";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 06:17:00";1806250
"865197";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 06:31:00";1806250
"865198";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 06:47:00";1806250
"865199";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 07:01:00";1806250
"865200";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 07:17:00";1806250
"865201";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 07:31:00";1806250
"865202";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 07:47:00";1806250
"865203";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 08:01:00";1806250
"865204";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 14:46:00";1806250
"865205";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 15:02:00";1806250
"865206";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 15:16:00";1806250
"865207";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 15:32:00";1806250
"865208";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 15:46:00";1806250
"865209";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 16:02:00";1806250
"865210";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 17:16:00";1806250
"865211";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 17:32:00";1806250
"865212";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 17:46:00";1806250
"865213";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 18:02:00";1806250
"865214";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 19:01:00";1806250
"865215";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 19:17:00";1806250
"865216";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 19:31:00";1806250
"865217";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 19:47:00";1806250
"865218";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 20:01:00";1806250
"865219";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 20:17:00";1806250
"865220";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 20:31:00";1806250
"865221";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 20:47:00";1806250
"865222";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 21:16:00";1806250
"865223";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 21:32:00";1806250
"865224";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 21:46:00";1806250
"865225";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 22:02:00";1806250
"865226";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 22:16:00";1806250
"865227";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 22:32:00";1806250
"865228";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 22:46:00";1806250
"865229";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 23:02:00";1806250
"865230";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 23:16:00";1806250
"865231";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 23:32:00";1806250
"865232";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-25 23:46:00";1806250
"865233";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 00:02:00";1806250
"865234";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 00:16:00";1806250
"865235";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 00:32:00";1806250
"865236";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 00:46:00";1806250
"865237";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 01:02:00";1806250
"865238";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 01:16:00";1806250
"865239";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 01:32:00";1806250
"865240";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 01:46:00";1806250
"865241";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 02:02:00";1806250
"865242";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 02:16:00";1806250
"865243";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 02:32:00";1806250
"865244";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 02:46:00";1806250
"865245";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 03:02:00";1806250
"865246";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 03:16:00";1786580
"865247";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 03:32:00";1806250
"865248";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 03:46:00";1795490
"865249";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 04:02:00";1684160
"865250";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 04:16:00";1608060
"865251";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 04:32:00";1646210
"865252";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 04:46:00";1627490
"865253";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 05:02:00";1585480
"865254";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 05:16:00";1508910
"865255";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 05:32:00";1628770
"865256";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 05:46:00";1340830
"865257";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 06:02:00";1520310
"865258";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 06:16:00";1576130
"865259";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 06:32:00";1645890
"865260";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 06:46:00";1634560
"865261";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 07:02:00";1661550
"865262";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 07:16:00";1709890
"865263";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 07:47:00";1806250
"865264";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 08:01:00";1806250
"865265";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 08:17:00";1653290
"865266";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 08:31:00";1720460
"865267";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 09:02:00";1776200
"865268";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 09:16:00";1806250
"865269";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 09:32:00";1806250
"865270";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 09:46:00";1806250
"865271";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 10:02:00";1806250
"865272";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 10:16:00";1806250
"865273";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 10:32:00";1739580
"865274";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 10:46:00";1806250
"865275";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-26 11:02:00";1806250
