"";"row.psx";"col.psx";"rep";"block";"geno_id";"rowNum";"colNum";"plotId";"unit";"old_unit";"new_unit"
"187";1;7;3;3;"Exp60_191_IS22294";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"188";2;7;3;3;"Exp60_291_IS32234";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"189";1;8;3;3;"Exp60_278_IS31123";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"190";2;8;3;3;"Exp60_297_IS33209";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"191";1;9;3;3;"Exp60_143_IS18922";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"192";2;9;3;3;"Exp60_145_IS19041";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"193";1;10;3;6;"Exp60_103_IS14206";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"194";2;10;3;6;"Exp60_93_IS12447";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"195";1;11;3;6;"Exp60_121_IS15443";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"196";2;11;3;6;"Exp60_127_IS16125";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"197";1;12;3;6;"Exp60_239_IS26833";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"198";2;12;3;6;"Exp60_186_IS22074";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"199";1;1;3;4;"Exp60_138_IS18868";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"200";2;1;3;4;"Exp60_125_IS15752";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"201";1;2;3;4;"Exp60_230_IS25442";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"202";2;2;3;4;"Exp60_10_IS2221";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"203";1;3;3;4;"Exp60_244_IS27587";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"204";2;3;3;4;"Exp60_199_IS22986";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"205";1;4;3;4;"Exp60_241_IS27164";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"206";2;4;3;4;"Exp60_193_IS22330";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"207";1;5;3;5;"Exp60_117_IS14735";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"208";2;5;3;5;"Exp60_83_IS10876";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"209";1;6;3;5;"Exp60_144_IS19026";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"210";2;6;3;5;"Exp60_126_IS16044";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"211";1;7;3;5;"Exp60_96_IS12931";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"212";2;7;3;5;"Exp60_85_IS10897";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"213";1;8;3;5;"Exp60_148_IS19418";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"214";2;8;3;5;"Exp60_160_IS20665";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"215";1;9;3;5;"Exp60_137_IS18835";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"216";2;9;3;5;"Exp60_99_IS13827";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"217";1;10;3;8;"Exp60_303_IRAT204";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"218";2;10;3;8;"Exp60_309_SSM1267";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"219";1;11;3;8;"Exp60_217_IS23992";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"220";2;11;3;8;"Exp60_175_IS20842";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"221";1;12;3;8;"Exp60_78_IS9830";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"222";2;12;3;8;"Exp60_133_IS18551";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"223";1;1;3;6;"Exp60_174_IS20792";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"224";2;1;3;6;"Exp60_36_IS3885";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"225";1;2;3;6;"Exp60_154_IS20016";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"226";2;2;3;6;"Exp60_82_IS10801";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"227";1;3;3;7;"Exp60_300_IS33423";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"228";2;3;3;7;"Exp60_43_IS4285";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
