unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;;;;
131:06:01;131:06:01;EXp60;WW_R1;Sorghum;Exp60_81_IS10234;Exp60_81_IS10234;1;;;;
131:06:02;131:06:02;EXp60;WW_R1;Sorghum;Exp60_255_IS29472;Exp60_255_IS29472;1;;;;
131:07:01;131:07:01;EXp60;WW_R1;Sorghum;Exp60_179_IS21425;Exp60_179_IS21425;1;;;;
131:07:02;131:07:02;EXp60;WW_R1;Sorghum;Exp60_14_IS2398;Exp60_14_IS2398;1;;;;
131:08:01;131:08:01;EXp60;WW_R1;Sorghum;Exp60_243_IS27490;Exp60_243_IS27490;1;;;;
131:08:02;131:08:02;EXp60;WW_R1;Sorghum;Exp60_272_IS30443;Exp60_272_IS30443;1;;;;
131:09:01;131:09:01;EXp60;WW_R1;Sorghum;Exp60_260_IS29691;Exp60_260_IS29691;1;;;;
131:09:02;131:09:02;EXp60;WW_R1;Sorghum;Exp60_77_IS9713;Exp60_77_IS9713;1;;;;
132:10:01;132:10:01;EXp60;WW_R1;Sorghum;Exp60_121_IS15443;Exp60_121_IS15443;1;;;;
132:10:02;132:10:02;EXp60;WW_R1;Sorghum;Exp60_276_IS30748;Exp60_276_IS30748;1;;;;
132:11:01;132:11:01;EXp60;WW_R1;Sorghum;Exp60_139_IS18874;Exp60_139_IS18874;1;;;;
132:11:02;132:11:02;EXp60;WW_R1;Sorghum;Exp60_9_IS2179;Exp60_9_IS2179;1;;;;
132:12:01;132:12:01;EXp60;WW_R1;Sorghum;Exp60_82_IS10801;Exp60_82_IS10801;1;;;;
132:12:02;132:12:02;EXp60;WW_R1;Sorghum;Exp60_112_IS14446;Exp60_112_IS14446;1;;;;
132:01:01;132:01:01;EXp60;WW_R1;Sorghum;Exp60_31_IS3511;Exp60_31_IS3511;1;;;;
132:01:02;132:01:02;EXp60;WW_R1;Sorghum;Exp60_101_IS13926;Exp60_101_IS13926;1;;;;
132:02:01;132:02:01;EXp60;WW_R1;Sorghum;Exp60_198_IS22909;Exp60_198_IS22909;1;;;;
132:02:02;132:02:02;EXp60;WW_R1;Sorghum;Exp60_307_SSM1102;Exp60_307_SSM1102;1;;;;
132:03:01;132:03:01;EXp60;WW_R1;Sorghum;Exp60_30_IS3507;Exp60_30_IS3507;1;;;;
132:03:02;132:03:02;EXp60;WW_R1;Sorghum;Exp60_282_IS31299;Exp60_282_IS31299;1;;;;
132:04:01;132:04:01;EXp60;WW_R1;Sorghum;Exp60_72_IS9303;Exp60_72_IS9303;1;;;;
132:04:02;132:04:02;EXp60;WW_R1;Sorghum;Exp60_155_IS20064;Exp60_155_IS20064;1;;;;
132:05:01;132:05:01;EXp60;WW_R1;Sorghum;Exp60_26_IS3073;Exp60_26_IS3073;1;;;;
132:05:02;132:05:02;EXp60;WW_R1;Sorghum;Exp60_118_R16;Exp60_118_R16;1;;;;
132:06:01;132:06:01;EXp60;WW_R1;Sorghum;Exp60_47_IS4963;Exp60_47_IS4963;1;;;;
132:06:02;132:06:02;EXp60;WW_R1;Sorghum;Exp60_86_IS10971;Exp60_86_IS10971;1;;;;
132:07:01;132:07:01;EXp60;WW_R1;Sorghum;Exp60_209_IS23601;Exp60_209_IS23601;1;;;;
132:07:02;132:07:02;EXp60;WW_R1;Sorghum;Exp60_27_IS3121;Exp60_27_IS3121;1;;;;
132:08:01;132:08:01;EXp60;WW_R1;Sorghum;Exp60_142_IS18919;Exp60_142_IS18919;1;;;;
132:08:02;132:08:02;EXp60;WW_R1;Sorghum;Exp60_73_IS9468;Exp60_73_IS9468;1;;;;
