Date;TS;Temp;RH;VPD;SR;WS;;
23/09/2023;13:00:00;29.67;86.30%;;460.1;1.97;;
23/09/2023;13:15:00;29.64;80.50%;;146.1;1.686;;
23/09/2023;13:30:00;29.57;82.60%;;196.7;0.653;;
23/09/2023;13:45:00;30.23;84.60%;;269.9;0.011;;
23/09/2023;14:00:00;30.91;79.13%;;270.9;0.65;;
23/09/2023;14:15:00;30.96;79.43%;;119.6;0.725;;
23/09/2023;14:30:00;30.33;80.60%;;360;0.987;;
23/09/2023;14:45:00;31.25;78.08%;;297.2;0.271;;
23/09/2023;15:00:00;31.88;78.15%;;285.3;1.018;;
23/09/2023;15:15:00;31.93;75.66%;;269.8;0.287;;
23/09/2023;15:30:00;32.29;73.99%;;241.5;2.078;;
23/09/2023;15:45:00;32.22;73.55%;;155.4;2.053;;
23/09/2023;16:00:00;32.03;71.13%;;129.3;0.405;;
23/09/2023;16:15:00;31.96;75.21%;;131.8;0.065;;
23/09/2023;16:30:00;31.22;72.81%;;105.2;0;;
23/09/2023;16:45:00;31.03;78.03%;;123.1;0;;
23/09/2023;17:00:00;31.31;75.71%;;133.6;0;;
23/09/2023;17:15:00;31.01;77.58%;;54.94;0;;
23/09/2023;17:30:00;30.98;77.13%;;89.8;0;;
23/09/2023;17:45:00;30.62;77.89%;;60.3;0;;
23/09/2023;18:00:00;30.19;79.13%;;40.2;0;;
23/09/2023;18:15:00;29.93;79.45%;;40.21;0;;
23/09/2023;18:30:00;29.68;77.93%;;46.91;0;;
23/09/2023;18:45:00;29.49;78.80%;;26.8;0;;
23/09/2023;19:00:00;29.18;77.01%;;13.4;0;;
23/09/2023;19:15:00;28.82;80.10%;;0;0;;
23/09/2023;19:30:00;28.57;83.80%;;0;0;;
23/09/2023;19:45:00;28.24;84.50%;;0;0;;
23/09/2023;20:00:00;27.85;84.60%;;0;0;;
23/09/2023;20:15:00;27.68;86.30%;;0;0;;
23/09/2023;20:30:00;27.41;87.40%;;0;0;;
