;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
367;158:01:01;158:01:01;WW_R1;Exp60_103_IS14206;Exp60_103_IS14206;1;7.77550117;1.30E-05;0;-6.31E-05;2.56E-07;5.721141312;0.033196521;-0.000363625;4.11E-05;-0.01095371;-0.000845981;7.24E-05;-0.025484012;0.034042502;-0.002404668
368;158:01:02;158:01:02;WW_R1;Exp60_189_IS22287;Exp60_189_IS22287;1;52.78589238;0.003158469;0.01147445;0.017243785;-0.010302969;-9.173512084;29.83602774;11.51259299;0.056270622;0.385862122;23.37562325;0.135969709;0.783469685;6.460404494;0.748236335
369;158:02:01;158:02:01;WW_R1;Exp60_78_IS9830;Exp60_78_IS9830;1;2.783983687;0;0;-2.20E-05;1.42E-06;6.371211864;0.009485959;9.51E-05;7.35E-06;0.010026732;0.000241891;1.14E-05;0.025499937;0.009244067;0.021910982
370;158:02:02;158:02:02;WW_R1;Exp60_130_IS16396;Exp60_130_IS16396;1;12.42707419;2.22E-05;0;-2.26E-05;1.62E-05;7.619650546;0.026926809;-5.77E-05;1.64E-05;-0.002142864;0.001920947;6.64E-05;0.071339564;0.025005863;0.032494604
371;158:03:01;158:03:01;WW_R1;Exp60_190_IS22291;Exp60_190_IS22291;1;9.522765527;1.75E-05;1.09E-05;-5.06E-06;3.14E-05;7.142533574;0.01267289;-0.000244845;7.95E-06;-0.019320402;0.000426416;4.87E-05;0.033647897;0.012246473;-0.006804109
372;158:03:02;158:03:02;WW_R1;Exp60_113_IS14449;Exp60_113_IS14449;1;28.30831227;4.51E-06;2.01E-06;1.03E-06;6.82E-06;6.105825589;0.002500043;-1.66E-05;1.23E-06;-0.006651274;5.90E-05;7.37E-06;0.023605925;0.002441027;-0.005852464
373;158:04:01;158:04:01;WW_R1;Exp60_122_IS15466;Exp60_122_IS15466;1;280.7087461;1.15E-05;7.03E-06;3.65E-05;1.07E-07;-1.385999066;0.006307138;-5.01E-05;6.73E-06;-0.007942907;0.0032545;0.00010147;0.516002715;0.003052637;0.08656538
374;158:04:02;158:04:02;WW_R1;Exp60_98_IS13791;Exp60_98_IS13791;1;3.089467107;5.22E-06;2.12E-06;1.06E-05;8.52E-06;-0.774019454;0.038501039;0.008176393;5.02E-06;0.212368116;0.019568841;1.57E-05;0.508267867;0.018932198;0.547265384
375;158:05:01;158:05:01;WW_R1;Exp60_176_IS21124;Exp60_176_IS21124;1;516.8233099;0;0;-1.46E-05;8.13E-06;8.169323681;0.005410323;-7.03E-05;3.25E-06;-0.013000606;0.000105814;1.52E-05;0.019557871;0.005304509;-0.005854049
376;158:05:02;158:05:02;WW_R1;Exp60_267_IS30207;Exp60_267_IS30207;1;16.84429998;0;0;-9.07E-05;3.00E-05;7.668290543;0.021175135;-0.000180436;8.08E-06;-0.008521112;-0.000741312;4.36E-05;-0.035008585;0.021916447;-0.013217773
