"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,2836.8,1.65428571428555,1.28025974025969,-0.244088669950689,-7.92794606534841e-18,-6.44519154961296,1039.5885,484.906000000003,5.25581467972581,0.466440327110201,925.905999999995,8.41915791049065,0.890646635664012,113.682500000003,0.909852477620664
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,23622,1675.64857142857,5883.95,-0.870122167487691,8.19796509148143e-14,-0.476412626110338,9400.661,-566.278999999999,1635.80914198998,-0.0602382109087859,14341.6935,2519.63081249865,1.52560479523727,-4941.0325,-0.0161509348587884
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1469.3,63.298285714285,0,0.0296502463054277,7.35294127605078e-06,-0.113428464154214,-1701.9785,367.243499999997,87.6601722690125,-0.215774464836069,-1821.2375,346.694733556284,1.07007080289204,119.258999999998,0.0143938782163658
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1224.39999999999,-23.0257142857133,5.32824561403512,-0.990146798029581,-3.59024846942921e-16,0.0972348809883624,-449.123999999989,-211.585500000001,203.117114539455,0.47110708846556,-271.887499999997,163.446942140633,0.605372903696983,-177.236499999992,-0.0374994223360898
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1312.59999999999,33.003571428571,0,1.32968916256166,-7.09433097559213e-14,0.309549687359734,-115.910499999998,186.458500000001,135.220737262625,-1.60864201258733,-542.987499999996,139.098357867474,4.68454108989267,427.076999999997,-0.00159584997957955
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1490.39999999999,19.5942857142841,69.4773809523807,-1.24844827586213,7.35294127602836e-06,0.287003130029512,665.941500000001,15.9290000000037,85.5557635969496,0.0239195184562063,203.349999999999,172.766213159945,0.305357152242349,462.591500000002,0.0111139193349509
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,110.7,8.12971428571426,1.66912087912088,0.234715763546801,-7.35294116459123e-06,-0.0936964763317161,-73.0835000000002,50.2704999999996,27.4493172137304,-0.687850198745264,-74.8290000000002,22.8301411132301,1.02388363994609,1.74549999999999,0.0335022988856536
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,497.400000000009,-31.4628571428566,591.100000000006,-7.65212315270942,-2.45098050857203e-06,0.38665631723351,-868.384499999993,3.41249999999854,0.426356378991505,-0.00392971085964636,-22.8565000000017,65.1293829869,0.0263207139233852,-845.527999999991,0.000894655147819689
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,1234.89999999999,70.8228571428573,250.400000000002,0.243217241379317,1.20234253123767e-18,0.23255228546664,-753.970500000003,5.4835000000021,0.543402104908089,-0.00727283096620103,-805.906000000003,206.148145334586,1.06888266848637,51.9354999999996,-0.00239385965443496
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,1194.5,1.28088571428671,0.00810977489978957,0.0875719211822627,-7.1324275321296e-14,-0.61297154029235,55.5279999999912,11.6335000000036,1.07368973970346,0.209506915430151,35.3125000000073,2.51115755739359,0.635940426451752,20.2154999999839,0.17529211466211
