"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.951428096977737,1.48874551971337,0.936400596286769,1.22029963134364,1.04249927997487,0.841006101171212,0.761838918614469,0.950923932072829
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,-1.55578432487771,0.119583444341708,0.556447409569478,-0.283058510638329,1.33974227858458,0.494780582695687,-0.618189786585392,0.025740190249701
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,55.0985663082407,-3.39081803004936,-0.0990298797050848,-0.167192349332372,0.0127441436491253,-0.452998528329668,0.338927940549431,0.636437795678299
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,-1.11836977700801,1.62304832713761,-4.67686870850293,0.187485658812109,0.0480320641282528,-0.308134031745487,0.37192877927116,0.332861353751032
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,-64.7522935779945,0.477461046887341,0.00688823163138691,0.826355140186904,-3.29869630112019,-0.161916068646051,0.329420677361851,0.0401944739187975
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,0.915303022226956,-1.62462509674924,0.0880915913103993,-0.0529734704239633,-0.194677354145793,0.238839231798957,-1.00642468239564,1.93737663433139
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,-0.00147824410309451,0.515709150326795,-1.80117082804347,0.422079980492573,-0.171410090556309,1.17307136665704,-0.257464954416234,0.420994074768745
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.649143610013184,1.37624925194494,0.472978894325558,9.82565320665117,0.705670697347399,-0.030200183040154,-0.0025979369129204,0.0385004500449963
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,0.967980569634042,0.139126654429504,0.0114244512097497,1.32845613510687,0.315744821041471,-0.00112265327622581,-0.077553118574382,0.897874425265704
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0.708289729406489,0.757981256721465,1.09713749413421,-0.783841303205462,0.353530074445716,-0.0381878750178517,0.0492183343564555,-2.6128324070116
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,-5.65542676501612,1.03351922164215,-0.839161763733719,0.901757478632477,0.660107380354213,0.0109221565925215,0.0755416666670041,0.231914191419061
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,0.952725478911453,2.74481453444376,0.946469477658888,0.949407590869526,1.18913536718734,0.746397323726197,0.622656896241685,-0.168659806344447
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,-0.0701332116031068,1.0622102425876,0.700665153354805,0.670418410041829,0.483831764797387,0.46811128419026,0.078970901584765,0.0651261352169553
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.604365550337995,0.12736318407958,0.37864295580111,1.10037024738502,0.158702971419395,0.337810939614875,0.0225028731962749,0.362848575712162
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,2.93161330786012,0.418253001745792,-1.04267384470471,0.996330799381592,0.162274253839251,63.5167536581633,-0.00828561685142946,0.0370044025124092
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,2.93161330786012,0.418253001745792,-1.04267384470471,0.996330799381592,0.162274253839251,63.5167536581633,-0.00828561685142946,0.0370044025124092
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,2.93161330786012,0.418253001745792,-1.04267384470471,0.996330799381592,0.162274253839251,63.5167536581633,-0.00828561685142946,0.0370044025124092
