"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,279.199999999997,8.35999999999934,1.04288766788773,0.00950738916253434,-0.430294117647053,0.27584637926328,-637.449999999997,342,10.3256171267186,-0.536512667660211,-777.879999999997,134.222357137744,1.22029963134364,140.43,-0.25383064280985
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,1218.7,70.4379999999997,1.05402281483719,-2.70610837438426,-4.52794117647054,0.312256122218756,-187.999999999993,-371.300000000003,52.6498016999815,1.97500000000009,53.2150000000038,58.8491269759651,-0.283058510638329,-241.214999999997,0.0382248431945149
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1011.2,88.4428571428563,0,-13.8057635467981,3.46078431372538,-0.461176223326223,-2770.99999999999,358.649999999994,157.295753545139,-0.129429808733308,463.290000000001,128.054407567774,-0.167192349332372,-3234.28999999999,-0.00243627234774996
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1260.60000000001,204.154285714287,230.795000000001,0.634187192118259,2.53936274509832,0.0138471107953934,-566.550000000003,-894.75,334.197931799478,1.57929573735768,-106.220000000001,330.025897320517,0.187485658812109,-460.330000000002,-0.000959489004511503
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,892.300000000003,54.6600000000014,5.43818681318673,-2.10709359605913,-2.27990196078459,0.375168205236178,1096.75000000001,609.299999999996,241.999589309966,0.555550490084332,906.304999999993,245.69765901751,0.826355140186904,190.445000000014,0.00266718265600439
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,2975.7,86.4142857142858,0,2.63300492610838,0.92499999999995,0.166645552448709,1575.6,-85.8999999999942,205.646758712722,-0.0545189134298009,-83.4649999999965,189.825497082907,-0.0529734704239633,1659.065,-0.00440705481855328
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,111.51,0,0,0.015241379310346,-0.492242647058833,-0.149599155500783,-41.0099999999998,48.2350000000001,28.7894397946622,-1.17617654230676,-17.3095000000003,29.6358568116113,0.422079980492573,-23.7004999999995,-0.0139264980688789
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,349.399999999994,41.9599999999989,0,-0.239753694581258,0.0584803921567572,0.0249320259467707,-84.1999999999971,619.25,59.3032998158401,-7.35451306413327,-827.32,179.638777044692,9.82565320665117,743.120000000003,0.0693750537673734
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,463454.03,50.8142857142853,4.2715979672501,-0.260049261083655,-0.0255882352943017,-0.542397170027819,334.549999999996,432.049999999996,77.3990906031212,1.29143625765955,444.434999999998,50.9748235526554,1.32845613510687,-109.885000000002,0.182748930321587
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,451.800000000003,49.465714285714,4.9975296442688,2.56300492610835,0.340465686274554,-0.855615043942832,-951.5,683,83.2318696116326,-0.717813977929585,745.824999999997,55.8897750785725,-0.783841303205462,-1697.325,0.0528868300125812
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,626.5,12.4714285714294,12.4714285714294,0.949211822660024,-0.209436274510118,-3.81872916027222,936,238.099999999999,21.52394098938,0.25438034188034,844.044999999998,26.8101998165004,0.901757478632477,91.9550000000017,0.123639692852075
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,365.799999999988,19.0200000000003,-0.522991110775348,0.0200492610836922,2.51526960784316,0.227994797046515,-746.950000000004,88.9000000000087,43.9207988477982,-0.119017337171174,-709.159999999996,98.8084334288668,0.949407590869526,-37.7900000000081,-0.238822933117884
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,628.799999999996,76.9099999999996,0.713832085253455,0.228768472906387,-6.54311274509797,-0.298510301989347,239.000000000004,34.0499999999993,1.75330640029943,0.142468619246857,160.23,7.16401296779449,0.670418410041829,78.7700000000041,0.0177099324074427
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,356.299999999996,563.422857142858,563.422857142858,1.20379310344828,0.0440931372549861,0.334760569261523,-6023,257.900000000001,38.3105310027711,-0.0428191930931432,-6627.53,967.283372143257,1.10037024738502,604.529999999999,0.00380080537884382
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,1397.59999999999,54.4399999999994,0,-0.245763546798084,-0.134558823529255,0.0329147465903796,21.3000000000102,1038.1,90.0192039696718,48.7370892018546,-918.454999999994,293.421974201495,-43.1199530516223,939.755000000005,0.0454285368290601
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,409.899999999994,53.8862857142867,0.4876762820513,0.150246305418619,7.85769607843137,1.58421650595706,835.25,26.4000000000015,1.54169819787343,0.0316073032026357,117.965000000004,6.03198290548834,0.141233163723441,717.284999999996,0.0345100472471939
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,379,9.38428571428522,21.0079824561404,1.19206896551731,0.0926960784315323,1.74300356037356,-1839.25,293.849999999999,27.458526085022,-0.159766209052602,-2282.145,139.440944879036,1.24080195731956,442.895000000004,0.0142618823906303
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,589.100000000006,8.0685714285721,2.60635080645167,0.304778325123194,0.0190686274510489,1.15479200854642,-585.900000000001,173.565000000002,26.7903308339151,-0.296236559139788,-637.905000000006,68.5367006821256,1.08876088069637,52.0050000000047,0.0114249837334633
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,795.5,36.0971428571435,3.39488461538451,0.667733990147841,0.109558823529369,-2.25551274527723,935.099999999999,572.799999999996,70.9463902232811,0.612554806972513,854.864999999998,48.1197232958373,0.91419634263715,80.2350000000006,0.202002143075248
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,395.800000000003,55.3771428571444,0,1.74453201970445,1.14399509803929,0.395059709124869,793.650000000001,21.75,1.64792437991047,0.0274050274050274,64.135000000002,2.15078189389457,0.0808101808101832,729.514999999999,0.00940837439987961
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,578.199999999997,0,0,-3.27965517241374,0.0473529411764877,0.399933516932188,1133.5,545.200000000004,78.2040806236508,0.480988089986771,558.654999999999,52.0637514239028,0.492858403176002,574.845000000001,0.134426333130006
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,448,58.0257142857146,0,-0.161773399014826,0.124485294117489,0.120347776878803,-308,993.650000000001,79.4286306633052,-3.22613636363637,-1272.33,352.59427474337,4.13094155844156,964.330000000002,0.0448506982104039
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,468784.4,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,425853.54,1614.84342857142,1773.409,19.5699458128076,1.38524509803848,-1.72506073888108,36021.47,-2302.02000000002,242.775810728243,-0.0639068866428833,35889.3,2322.50572955222,0.996330799381592,132.169999999984,0.0358103711265269
