"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,2836.8,6.10399999999832,1.3198241758238,-2.86036769567768e-14,2.13993767213247e-13,-4.41160644159547,804.010000000002,441.569999999992,11.3642115767834,0.549209586945425,585.810000000005,11.1262007224838,0.728610340667409,218.199999999997,0.763902721536401
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,23622,1217.47142857143,276.855833333333,8.25874384236457,-0.624267156862712,0.479032678873536,-11703.131,-19242.7725,2900.31028497571,1.64424140001509,-14944.5215,2980.88674747167,1.27696780459862,3241.3905,-0.104499803502026
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1469.3,0,0,-8.02145320197042,1.35649754901957,0.474506086021692,1556.796,830.771000000001,171.996065538609,0.533641530425309,619.403000000006,116.929599525674,0.397870369656657,937.392999999996,0.0667021562538265
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1224.39999999999,216.297142857143,11.8432456140352,-3.86243842364527,-0.344502450980537,0.241740079989656,1045.14399999999,1576.9345,324.764042015966,1.50882031566943,-107.895500000006,380.247517789313,-0.103235056604647,1153.0395,0.0668748590804385
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1312.59999999999,109.741428571429,4.50424192665571,-4.49706896551719,0.498995098039207,0.0143654981024983,385.488499999999,168.606999999996,256.08460320935,0.437385291649418,635.375999999997,228.095707385163,1.64823593959352,-249.887499999997,0.0545719575747872
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1490.39999999999,46.0514285714291,0.889583333333468,-3.94354679802961,-1.80532352941169,-0.120914589570821,131.200000000004,679.046499999997,248.095040455785,5.17565929878029,1160.387,174.488627724784,8.84441310975577,-1029.18699999999,0.0805162199327528
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,110.7,14.5585714285714,3.21835664335667,-0.00760837438423991,0.0189877450980533,-0.162477143604568,-15.9675000000002,-87.2440000000001,24.714230119508,5.46384844214805,8.4050000000002,21.3918584143411,-0.526381712854241,-24.3725000000004,-0.0829883296303023
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,497.400000000009,3.08285714285781,0.572466422466456,0.0139162561576211,-0.00356372549029795,-3.90858092897908,193.845999999998,143.083000000006,6.56279772585436,0.738127173116844,165.684999999998,5.2528780877662,0.854724884702287,28.1610000000001,0.669321625847331
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,1234.89999999999,0.602857142858556,0.406293706293899,0.203226600985216,0.000585784313728914,-0.395516345992631,451.761500000001,18.1134999999995,1.02335924660912,0.0400952715094125,175.326500000003,6.34554260383525,0.388095267082305,276.434999999998,0.114901459087123
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,1194.5,21.4371428571421,7.2045769230768,0.737167487684785,0.00145343137242604,0.398589541994404,-1729.4175,374.596499999992,35.5463345802389,-0.216602700042062,-2022.288,374.429839458216,1.16934632614739,292.870500000005,-0.0287223070685139
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,837.299999999988,-8.19714285714267,-13.2082352941177,0.0184729064039552,0.0668504901962781,0.455966891148585,-438.232499999998,-382.855000000003,186.157653519896,0.873634429212815,-403.482000000004,120.875050375227,0.920703051462421,-34.7504999999946,-0.0339261782111823
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,365.599999999991,1.32571428571537,0.970130434782666,-0.0102463054186848,0.691066176470628,-3.78888303588247,602.896000000001,345.957000000002,12.5092029906749,0.573825336376426,489.550999999999,11.23411831311,0.811999084419202,113.345000000001,0.646520146939436
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,98133.84,49.6514285714293,0,1.96480295566503,0.000524509804028425,-0.279233344559654,591.569,14.2879999999968,0.870411851064874,0.0241527192939401,123.242000000002,4.77204004547077,0.20833072726935,468.326999999997,0.0125738818519647
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,448.599999999999,64.0885714285714,0,-2.30110837438425,-0.000688725490256141,0.312329331862391,950.592499999995,452.9895,67.0043105557217,0.476533845996052,485.836500000001,44.4639060208114,0.511088084536753,464.755999999994,0.190826264561074
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,435968.28,40339.8628571429,56469.1,-1495.29240344828,-0.227504901960785,-0.283150998552563,-1030.32449999998,952.389999999999,430.016983856641,-0.924359267395871,437365.3225,43065.6107952978,-424.492790863469,-438395.647,0.0130636259541959
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,435968.28,40339.8628571429,56469.1,-1495.29240344828,-0.227504901960785,-0.283150998552563,-1030.32449999998,952.389999999999,430.016983856641,-0.924359267395871,437365.3225,43065.6107952978,-424.492790863469,-438395.647,0.0130636259541959
