"","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"2023-09-23",0,0.006,0.001,0,0,0,0,0,0,0.018,0,0.001,0.025,0.001,0.001
"2023-09-24",0,0,0,0,0.002,0,0.001,0.002,0,0,0,0,0,0,0
"2023-09-25",0,0.001,0,0.002,0.001,0.015,0.002,0.002,0,0,0.002,0,0.042,0.001,0
"2023-09-26",0,0.002,0.001,0.003,0,0,0.002,0.002,0.035,0,0.002,0.001,0,0.001,0.011
"2023-09-27",0,0,0,0,0.002,0,0.001,0.002,0,0.064,0.001,0,0.065,0,0.008
"2023-09-28",0,0,0,0,0,0,0,0.014,0,0.05,0,0,0.061,0,0
"2023-09-29",0,0.001,0.001,0,0,0,0.003,0.003,0,0.024,0.001,0,0.023,0.003,0
"2023-09-30",0,0.001,0,0,0.001,0.088,0.002,0.003,0,0,0.003,0,0,0.002,0.051
