"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,345.29788800978,0,0,-9.33292875845928,-0.332067442170165,4.60574490347624,2173.70784040352,367.77196385381,1.75994711522882,0.1691910738959,712.247507085598,5.41859157444886,0.327664782656983,1461.46033331792,0.171220093243543
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,37850.064823456,0,0,-1075.9719784157,3652.0785904375,0.859524747361289,-2148518.07260132,-232999.795016977,18108.3977541318,0.108446746614923,-1455805.87783659,36343.4735164225,0.677586051707712,-692712.194764728,-0.35860061062481
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1094.39667000496,7.55095577972624,10.6861034984935,-0.221331551559798,-14.7394380918471,2.35763626760855,28124.9144620987,3368.81572897426,65.9738882158687,0.119780479102047,13241.7371249455,179.72498871731,0.470818751921545,14883.1773371532,0.426531735486046
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1859.41735231408,7.10942802995443,9.05141119566322,11.499636088947,1.94586895699984,-4.75165950721794,19436.1853141681,5493.74592436351,126.136144283931,0.282655564122391,12024.7124587966,191.378544932245,0.618676569729508,7411.47285537155,0.486762083953007
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,2488.21583899553,2.64693126126424,4.56043145108491,-2.32676547273412,5.20996953974539,-2.9272506643484,8813.60942817559,3067.10524029269,12.5924200614407,0.347996500785215,5364.04077202159,48.4743635104417,0.608608858349643,3449.56865615399,0.752696621404486
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1596.42990106664,12.2341363602037,-0.972632408959045,1.91842459617204,10.2265510248101,0.50342912199667,11233.2262891441,2839.84456456229,15.4295779285993,0.252807563158124,5257.66390089311,52.8632697762491,0.468045756896591,5975.56238825094,0.548305758224444
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,239.574049764536,0.134649150632555,0,0.178630121303964,0.382731534288134,0.107359052842527,1480.76880164461,262.833932983222,4.13864535060846,0.177498291894931,623.860771504267,9.00782454757213,0.421308695058526,856.90803014034,0.345265725502262
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,65.4482270350821,0.733393897278563,0,-0.166463382520861,-0.451570413986998,2.4886495315419,1191.88392683902,170.758486884793,4.12606138762916,0.143267715118585,416.407459917821,5.14136110287509,0.34936913783389,775.476466921203,0.372590322306873
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,86.6348116454531,2.89807578259988,0.0183656681546184,0.879131961147477,2.64634573030201,-0.334460738463769,2916.31710699584,785.163258972308,2.1070606423836,0.269231098733677,1443.29517948307,10.8076394930889,0.494903375226515,1473.02192751277,0.622686794565812
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,55.3900550412936,0.19680986548333,0.166416055809493,-0.0895205684118427,0.560790900135619,8.43357460498312,480.884445058229,10.1115007678217,0.311728759932617,0.0210268825946268,49.5266218839534,1.36806139660691,0.102990692239913,431.357823174276,0.036340410402542
