"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,345.29788800978,0.540740228812852,1.12653637861189,0.036695381965818,-0.612189016761979,-8.04420693690162,1098.04860600243,541.097528871981,2.46748143179647,0.492781035296706,985.965459283106,6.74887933077744,0.89792515002831,112.083146719321,0.907749462226283
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,37850.064823456,960.804086600002,0,371.864020410666,-0.507647335734205,-2.87086286253534,33604.1380513187,824.966874137904,38.7249546755943,0.0245495621068469,6782.36143445907,275.998329771691,0.201831138299139,26821.7766168596,0.00918215284688653
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1094.39667000496,0,0,-2.57668247702571,-0.363696497161307,-1.2562717567484,13043.4186688411,3223.91261825824,29.264775256164,0.247167763307308,6695.46390460261,51.2088048478659,0.513321244575023,6347.95476423851,0.537270667882619
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1859.41735231408,2.38145996372087,7.81503526436166,3.01996181038805,1.05958629438194,-7.29194631419346,13041.9814567953,5328.84299291507,58.6391137843756,0.408591517367828,9861.25501688239,96.9861269931967,0.756116319406692,3180.7264399129,0.774079112047355
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,2488.21583899553,0.475885286815001,0,4.56644606482467,2.37805934245415,-0.975070654566161,12619.458148306,2235.20631057127,50.1135431319991,0.177123794405651,5616.09889650956,87.9305212128458,0.445034868415761,7003.35925179645,0.346587248639766
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1596.42990106664,5.80339599821416,6.4886780158158,-2.93070427164877,-5.38025508182851,-4.78519292799059,17150.4929165738,5206.45505601358,19.6669243144476,0.303574660001882,10099.5755782031,52.3533394651962,0.588879609894073,7050.91733837076,0.693419513811541
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,239.574049764536,0.78108549322126,0.615821453965954,0.576333851345133,0.864643401075797,4.52461724943424,2653.14779714304,354.228410943395,2.71538835385764,0.133512505908957,1111.46251614995,7.42211494576463,0.418922201524843,1541.68528099309,0.38229667004483
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,65.4482270350821,0.0933697108576212,0.105877448903309,0.398004725490613,0.0820774206399677,-4.08970456544036,766.459513879504,154.174576180936,1.2916165194217,0.201151624305069,416.479859662841,2.12722197674394,0.543381420833033,349.979654216663,0.5206150387035
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,86.6348116454531,0.440794183363516,0,-2.20329728027662,-2.89011620878694,-1.31592829857461,3201.5207532634,899.528050901217,11.6461873005977,0.280968989497976,1776.73522712218,17.4248219471471,0.554966018980544,1424.78552614122,0.631627059282292
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,55.3900550412936,0.873158804404427,2.39339804661684,-0.719928729209792,-2.69820464132046,-5.20959140690511,1830.99978101704,839.730540081215,12.5435525160114,0.458618591212927,1566.30862092117,21.1336400231364,0.85543899958915,264.69116009587,0.843002203649876
