"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,484.89629328191,3.61228064151086,0,4.62988092484029,1.49970754441839,0.181955448664207,3110.07020684391,-82.5180626971473,23.7355301531255,-0.026532540170817,750.874286363701,48.6614752993711,0.24143322704142,2359.19592048021,-0.0596568449986245
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,16373.4122458826,0.885087249949045,1.54086843461242,-0.505795867272919,-1.47356802856959,-3.397363577984,1538.00931748562,551.853960819569,10.2655093633741,0.358810544608243,1170.6391205354,15.1980809894287,0.761139160359048,367.370196950223,0.791363833795
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1461.11121219105,16.1394957444638,1.89347508761564,-2.41382417342544,11.4416863579964,6.05278056277892,6536.53583698926,1063.16243344131,24.3050993163845,0.162649216642405,2280.78148662725,24.577158452579,0.348928169829752,4255.75435036201,0.262657652472314
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1181.61419051474,22.0008957573457,4.35782746991083,-5.96971599430311,16.1312837842706,7.65331876845685,7618.63734623837,585.921363482743,11.615317959972,0.0769063202321916,1535.6594140833,18.2463694354606,0.201566152094314,6082.97793215507,0.128898656470201
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1780.44643953821,43.8508786748472,10.8440414414701,4.71125150093143,-1354.40699131611,-5.91561726578696,-312086.935045924,1452.92954885066,273.800115190624,-0.00465552827014965,-6634.69303476219,1055.4493907292,0.0212591181805989,-305452.242011162,0.00513078302683735
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,3535.58499612101,11.6530828481758,3.72316145089319,-8.53736162268019,8.6555072489336,2.36223684494284,-1654.02723070133,431.888742933238,14.8552090544617,-0.261113441735848,-32.387743149246,51.8208327507975,0.0195811426487297,-1621.63948755209,0.0858591375197898
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,79.9906481731248,1.25041836600818,2.77197275696338,-0.593747740255284,-3.89278168295562,-4.57397902235752,2960.33411156696,1053.23045395612,19.5523541504208,0.355780940347514,2325.85208995846,28.4926796407218,0.785672158041426,634.482021608499,0.80109912378248
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,32.8177554289617,0.66283882979459,0.413093316338695,-0.0620522472554241,0.712557422920226,5.67926900345864,526.35494733832,-3.3343244270829,1.01370252567598,-0.00633474510678385,114.157699334156,4.21171507646321,0.216883492615449,412.197248004165,0.0811068309806902
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,19590.7318442018,0.657065114260114,1.27884273388733,0.623374833838239,0.596748887903786,-5.4766308430062,837.239576929758,392.862520447519,9.98496832399047,0.469235486798397,706.346293215566,13.8836475866676,0.84366089788279,130.893283714192,0.504598540542656
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,67.843921936219,0.305192787470849,0.835551157902253,-0.0973069528970937,0.668500398333546,-4.23993722435335,959.648477065531,404.723052509526,3.8531341573763,0.421740941794762,715.292251775122,6.57320669432241,0.745369027169599,244.356225290409,0.739198039190693
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,2718.22239551341,0,0,-1.64842606787882,-0.465771652301973,3.90914633023793,868.359627259186,170.371657057517,1.35023207552373,0.19619942211646,364.006066959371,2.70037977121931,0.419188151467023,504.353560299815,0.392047058726058
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,1140.95004154096,2.7984894192634,0,3.59942782400128,0.823545708709536,-0.870323932080406,3068.34118465849,248.114426283314,16.3711889323243,0.0808627239773304,1104.15491876177,33.9068637296035,0.359854022845461,1964.18626589673,0.108011558831303
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,42.058021012139,0.974383714429068,0.170006865678309,-0.259643886987039,0.691939325227038,7.25756966442961,200.053778033178,3.6682084300441,0.317187243030325,0.0183361117500903,14.6129436190591,0.568136581159616,0.0730450769924255,185.440834414119,0.0162071829557964
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,44.5020003049215,0,0,-0.218796603512821,0.0831728928862918,4.16124267280077,62.24870199822,9.47744614166,0.231843075018578,0.152251305447799,25.1010245931484,0.226305074097748,0.403237718818074,37.1476774050717,0.123365053979613
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,233824.445852218,0,0,-241.939064394004,11.7027271456575,6.02643591050451,79860.5798578359,1396.084079211,47.2931549154427,0.0174815169348412,1143.19553198125,109.622813788835,0.0143148914522823,78717.3843258547,0.0201665089580716
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,233824.445852218,0,0,-241.939064394004,11.7027271456575,6.02643591050451,79860.5798578359,1396.084079211,47.2931549154427,0.0174815169348412,1143.19553198125,109.622813788835,0.0143148914522823,78717.3843258547,0.0201665089580716
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,233824.445852218,0,0,-241.939064394004,11.7027271456575,6.02643591050451,79860.5798578359,1396.084079211,47.2931549154427,0.0174815169348412,1143.19553198125,109.622813788835,0.0143148914522823,78717.3843258547,0.0201665089580716
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,233824.445852218,0,0,-241.939064394004,11.7027271456575,6.02643591050451,79860.5798578359,1396.084079211,47.2931549154427,0.0174815169348412,1143.19553198125,109.622813788835,0.0143148914522823,78717.3843258547,0.0201665089580716
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,306.196840140033,1.13793376462674,0.665362664895933,-0.275430094998325,1.11829900805574,5.47136604863593,554.068318967934,-20.3076982995192,0.932882492155009,-0.0366519752245472,76.9288424663377,6.6222849188246,0.138843604358454,477.139476501596,0.047963079480782
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,50.372998371655,0.709645547528031,0.122013136112369,-0.209173803063987,0.502757086343835,7.52420825307995,154.177848292385,3.99742489855239,0.242138112585633,0.0259273620875265,12.6238656285501,0.406085705761724,0.0818785951961792,141.553982663835,0.0245770686908446
