"","Date","TS","Temp","RH","VPD","SR","WS"
"89",2023-10-10,"22:00:00",29.06,69,NA,0,0
"90",2023-10-10,"22:15:00",28.87,69,NA,0,0
"91",2023-10-10,"22:30:00",28.69,69,NA,0,0
"92",2023-10-10,"22:45:00",28.46,69,NA,0,0
"93",2023-10-10,"23:00:00",28.39,70,NA,0,0
"94",2023-10-10,"23:15:00",28.29,71,NA,0,0
"95",2023-10-10,"23:30:00",28.21,71,NA,0,0
"96",2023-10-10,"23:45:00",28.14,72,NA,0,0
"97",2023-10-11,"00:00:00",27.96,73,NA,0,0
"98",2023-10-11,"00:15:00",27.87,74,NA,0,0
"99",2023-10-11,"00:30:00",27.69,74,NA,0,0
"100",2023-10-11,"00:45:00",27.59,75,NA,0,0
"101",2023-10-11,"01:00:00",27.43,76,NA,0,0
"102",2023-10-11,"01:15:00",27.21,77,NA,0,0
"103",2023-10-11,"01:30:00",27.06,77,NA,0,0
"104",2023-10-11,"01:45:00",26.86,78,NA,0,0
"105",2023-10-11,"02:00:00",26.7,78,NA,0,0
"106",2023-10-11,"02:15:00",26.56,77,NA,0,0
"107",2023-10-11,"02:30:00",26.45,79,NA,0,0
"108",2023-10-11,"02:45:00",26.27,80,NA,0,0
"109",2023-10-11,"03:00:00",26.25,80,NA,0,0
"110",2023-10-11,"03:15:00",26.26,80,NA,0,0
"111",2023-10-11,"03:30:00",26.08,81,NA,0,0
"112",2023-10-11,"03:45:00",26.06,81,NA,0,0
"113",2023-10-11,"04:00:00",26,81,NA,0,0
"114",2023-10-11,"04:15:00",25.74,81,NA,0,0
"115",2023-10-11,"04:30:00",25.77,81,NA,0,0
"116",2023-10-11,"04:45:00",25.61,83,NA,0,0
"117",2023-10-11,"05:00:00",25.5,83,NA,0,0
"118",2023-10-11,"05:15:00",25.34,83,NA,0,0
"119",2023-10-11,"05:30:00",25.33,83,NA,0,0
"120",2023-10-11,"05:45:00",25.25,83,NA,0,0
"121",2023-10-11,"06:00:00",25.14,84,NA,0.112,0
"122",2023-10-11,"06:15:00",25.08,84,NA,0,0
"123",2023-10-11,"06:30:00",25.03,84,NA,0,0
"124",2023-10-11,"06:45:00",24.86,84,NA,0.112,0
"125",2023-10-11,"07:00:00",24.96,85,NA,0,0
"126",2023-10-11,"07:15:00",24.94,85,NA,0,0
"127",2023-10-11,"07:30:00",24.81,85,NA,0,0
"128",2023-10-11,"07:45:00",24.8,85,NA,6.82,0
"129",2023-10-11,"08:00:00",24.88,85,NA,13.42,0
"130",2023-10-11,"08:15:00",25.04,86,NA,26.83,0
"131",2023-10-11,"08:30:00",25.36,87,NA,35.77,0
"132",2023-10-11,"08:45:00",26.06,87,NA,46.95,0
"133",2023-10-11,"09:00:00",26.52,86,NA,53.31,0
"134",2023-10-11,"09:15:00",27.29,85,NA,66.83,0
"135",2023-10-11,"09:30:00",27.61,81,NA,114,0
"136",2023-10-11,"09:45:00",28.38,76,NA,130.3,0
"137",2023-10-11,"10:00:00",29.22,72,NA,143.3,0
"138",2023-10-11,"10:15:00",30.09,68,NA,181,0
"139",2023-10-11,"10:30:00",30.98,63,NA,200.8,0.054
"140",2023-10-11,"10:45:00",31.74,61,NA,228.3,0
"141",2023-10-11,"11:00:00",32.37,59,NA,244.9,0.764
"142",2023-10-11,"11:15:00",33,56,NA,256.5,1.339
"143",2023-10-11,"11:30:00",33.75,53,NA,280,1.356
"144",2023-10-11,"11:45:00",33.94,52,NA,199.5,0.152
"145",2023-10-11,"12:00:00",33.78,52,NA,149,1.9
"146",2023-10-11,"12:15:00",34.05,53,NA,311.8,0.078
"147",2023-10-11,"12:30:00",35.25,49,NA,335.1,0.696
"148",2023-10-11,"12:45:00",35.43,47,NA,306.4,0.511
"149",2023-10-11,"13:00:00",35.83,46,NA,194,0.018
"150",2023-10-11,"13:15:00",35.83,47,NA,363.1,0
"151",2023-10-11,"13:30:00",36.52,44,NA,336.3,0.693
"152",2023-10-11,"13:45:00",37,42,NA,320.5,0.877
"153",2023-10-11,"14:00:00",36.59,40,NA,195.5,0.895
"154",2023-10-11,"14:15:00",37.09,40,NA,334.2,1.857
"155",2023-10-11,"14:30:00",37.86,37,NA,308.6,0.495
"156",2023-10-11,"14:45:00",37.62,38,NA,127.5,0.333
"157",2023-10-11,"15:00:00",36.32,38,NA,142.6,0.367
"158",2023-10-11,"15:15:00",36.87,39,NA,271.3,0.444
"159",2023-10-11,"15:30:00",35.64,41,NA,80.4,0.939
"160",2023-10-11,"15:45:00",35.24,43,NA,232.7,0.003
"161",2023-10-11,"16:00:00",36.29,40,NA,230.4,0.09
"162",2023-10-11,"16:15:00",37.11,41,NA,167.8,1.751
"163",2023-10-11,"16:30:00",36.05,41,NA,100.5,0.253
"164",2023-10-11,"16:45:00",35.32,43,NA,115.9,0.774
"165",2023-10-11,"17:00:00",34.95,44,NA,77.14,0.35
"166",2023-10-11,"17:15:00",34.67,44,NA,93.2,0.555
"167",2023-10-11,"17:30:00",34.47,46,NA,84.2,0.972
"168",2023-10-11,"17:45:00",34.12,46,NA,66.99,0.085
"169",2023-10-11,"18:00:00",33.83,47,NA,59.4,0
"170",2023-10-11,"18:15:00",33.52,47,NA,40.2,0.518
"171",2023-10-11,"18:30:00",32.97,49,NA,26.8,0.513
"172",2023-10-11,"18:45:00",32.42,52,NA,13.4,0.021
"173",2023-10-11,"19:00:00",32.06,52,NA,5.472,0.005
"174",2023-10-11,"19:15:00",31.58,55,NA,0,0.629
"175",2023-10-11,"19:30:00",31.36,56,NA,0,0.175
"176",2023-10-11,"19:45:00",30.99,58,NA,0,0.314
"177",2023-10-11,"20:00:00",30.72,60,NA,0,0.005
"178",2023-10-11,"20:15:00",30.54,61,NA,0,0.09
"179",2023-10-11,"20:30:00",30.23,63,NA,0,0
"180",2023-10-11,"20:45:00",29.99,63,NA,0,0
"181",2023-10-11,"21:00:00",29.74,65,NA,0,0
"182",2023-10-11,"21:15:00",29.4,66,NA,0,0.181
"183",2023-10-11,"21:30:00",29.2,66,NA,0,0.005
"184",2023-10-11,"21:45:00",29.06,67,NA,0,0.136
"185",2023-10-11,"22:00:00",28.89,68,NA,0,0
"186",2023-10-11,"22:15:00",28.72,68,NA,0,0
"187",2023-10-11,"22:30:00",28.57,69,NA,0,0
"188",2023-10-11,"22:45:00",28.44,69,NA,0,0
"189",2023-10-11,"23:00:00",28.27,69,NA,0,0
"190",2023-10-11,"23:15:00",28.09,70,NA,0,0
"191",2023-10-11,"23:30:00",27.96,70,NA,0,0
"192",2023-10-11,"23:45:00",27.78,70,NA,0,0
"193",2023-10-12,"00:00:00",27.62,70,NA,0,0
"194",2023-10-12,"00:15:00",27.48,71,NA,0,0
"195",2023-10-12,"00:30:00",27.37,72,NA,0,0
"196",2023-10-12,"00:45:00",27.18,73,NA,0,0
"197",2023-10-12,"01:00:00",27.01,73,NA,0,0
"198",2023-10-12,"01:15:00",26.95,74,NA,0,0
"199",2023-10-12,"01:30:00",26.82,74,NA,0,0
"200",2023-10-12,"01:45:00",26.72,75,NA,0,0
"201",2023-10-12,"02:00:00",26.56,76,NA,0,0
"202",2023-10-12,"02:15:00",26.53,76,NA,0,0
"203",2023-10-12,"02:30:00",26.48,76,NA,0,0
"204",2023-10-12,"02:45:00",26.36,77,NA,0,0
"205",2023-10-12,"03:00:00",26.14,77,NA,0,0
"206",2023-10-12,"03:15:00",25.92,77,NA,0,0
"207",2023-10-12,"03:30:00",25.82,78,NA,0,0
"208",2023-10-12,"03:45:00",25.56,80,NA,0,0
"209",2023-10-12,"04:00:00",25.49,81,NA,0,0
"210",2023-10-12,"04:15:00",25.27,81,NA,0,0
"211",2023-10-12,"04:30:00",25.03,81,NA,0,0
"212",2023-10-12,"04:45:00",25,81,NA,0,0
"213",2023-10-12,"05:00:00",24.85,81,NA,0,0
"214",2023-10-12,"05:15:00",24.73,83,NA,0,0
"215",2023-10-12,"05:30:00",24.77,82,NA,0,0
"216",2023-10-12,"05:45:00",24.87,82,NA,0,0
"217",2023-10-12,"06:00:00",24.78,82,NA,0,0
"218",2023-10-12,"06:15:00",24.72,80,NA,0,0
"219",2023-10-12,"06:30:00",24.58,81,NA,0,0
"220",2023-10-12,"06:45:00",24.4,82,NA,0,0
"221",2023-10-12,"07:00:00",24.23,83,NA,0,0
"222",2023-10-12,"07:15:00",24.24,83,NA,0,0
"223",2023-10-12,"07:30:00",24.23,83,NA,0,0
"224",2023-10-12,"07:45:00",24.12,82,NA,6.709,0
"225",2023-10-12,"08:00:00",24.13,84,NA,15.99,0
"226",2023-10-12,"08:15:00",24.42,85,NA,33.54,0
"227",2023-10-12,"08:30:00",24.79,86,NA,40.36,0
"228",2023-10-12,"08:45:00",25.31,86,NA,61.82,0
"229",2023-10-12,"09:00:00",25.92,85,NA,42.36,0
"230",2023-10-12,"09:15:00",26.92,81,NA,46.94,0.046
"231",2023-10-12,"09:30:00",27.81,76,NA,91.6,0
"232",2023-10-12,"09:45:00",28.69,73,NA,149,0
"233",2023-10-12,"10:00:00",29.49,69,NA,154.7,0.408
"234",2023-10-12,"10:15:00",30.36,64,NA,202.5,0.335
"235",2023-10-12,"10:30:00",31.34,62,NA,225.6,1.321
"236",2023-10-12,"10:45:00",32.23,56,NA,243.9,1.413
"237",2023-10-12,"11:00:00",32.68,55,NA,257.7,1.395
"238",2023-10-12,"11:15:00",33.24,53,NA,258.1,2.452
"239",2023-10-12,"11:30:00",33.88,49,NA,281.4,2.197
"240",2023-10-12,"11:45:00",34.3,49,NA,289.2,2.653
"241",2023-10-12,"12:00:00",34.91,46,NA,285.5,0.598
"242",2023-10-12,"12:15:00",35.21,41,NA,313.8,0.542
"243",2023-10-12,"12:30:00",35.67,42,NA,315.9,0.601
"244",2023-10-12,"12:45:00",36.24,42,NA,334.2,1.45
"245",2023-10-12,"13:00:00",36.61,39,NA,349.7,0
"246",2023-10-12,"13:15:00",37.27,39,NA,317.6,0
"247",2023-10-12,"13:30:00",37.95,37,NA,303.7,0.242
"248",2023-10-12,"13:45:00",38.23,37,NA,352.2,1.027
"249",2023-10-12,"14:00:00",38.28,35,NA,214.1,1.07
"250",2023-10-12,"14:15:00",38.47,35,NA,333.2,0.777
"251",2023-10-12,"14:30:00",37.94,33,NA,324.3,1.467
"252",2023-10-12,"14:45:00",38.58,34,NA,324,1.081
"253",2023-10-12,"15:00:00",38.23,31,NA,308.9,1.707
"254",2023-10-12,"15:15:00",38.75,32,NA,305.1,1.04
"255",2023-10-12,"15:30:00",37.97,32,NA,294.3,2.648
"256",2023-10-12,"15:45:00",38.37,34,NA,184.5,1.736
"257",2023-10-12,"16:00:00",38.19,34,NA,221,1.47
"258",2023-10-12,"16:15:00",37.67,34,NA,73.68,1.053
"259",2023-10-12,"16:30:00",35.83,35,NA,191.1,0.232
"260",2023-10-12,"16:45:00",36.58,36,NA,174.2,0.091
"261",2023-10-12,"17:00:00",36.23,37,NA,147.4,0.952
"262",2023-10-12,"17:15:00",35.65,36,NA,127.3,0.359
"263",2023-10-12,"17:30:00",35.59,38,NA,100.5,0.547
"264",2023-10-12,"17:45:00",34.91,39,NA,71.78,0.394
"265",2023-10-12,"18:00:00",34.21,39,NA,52.14,0.335
"266",2023-10-12,"18:15:00",33.61,41,NA,33.49,0.175
"267",2023-10-12,"18:30:00",33.2,43,NA,24.46,0
"268",2023-10-12,"18:45:00",32.6,43,NA,13.4,0.106
"269",2023-10-12,"19:00:00",32.25,44,NA,5.696,0
"270",2023-10-12,"19:15:00",31.85,46,NA,0,0.008
"271",2023-10-12,"19:30:00",31.48,47,NA,0,0
"272",2023-10-12,"19:45:00",31.18,48,NA,0,0
"273",2023-10-12,"20:00:00",30.89,50,NA,0,0.011
"274",2023-10-12,"20:15:00",30.67,51,NA,0,0
"275",2023-10-12,"20:30:00",30.41,52,NA,0,0
"276",2023-10-12,"20:45:00",30.2,53,NA,0,0
"277",2023-10-12,"21:00:00",29.92,54,NA,0,0.038
"278",2023-10-12,"21:15:00",29.69,54,NA,0,0.007
"279",2023-10-12,"21:30:00",29.47,55,NA,0,0
"280",2023-10-12,"21:45:00",29.33,56,NA,0,0
"281",2023-10-12,"22:00:00",29.1,57,NA,0,0
"282",2023-10-12,"22:15:00",28.99,58,NA,0,0
"283",2023-10-12,"22:30:00",28.86,59,NA,0,0
"284",2023-10-12,"22:45:00",28.71,61,NA,0,0
"285",2023-10-12,"23:00:00",28.62,62,NA,0,0
"286",2023-10-12,"23:15:00",28.38,62,NA,0,0
"287",2023-10-12,"23:30:00",28.12,63,NA,0,0
"288",2023-10-12,"23:45:00",27.91,65,NA,0,0
"289",2023-10-13,"00:00:00",27.69,65,NA,0,0
"290",2023-10-13,"00:15:00",27.63,69,NA,0,0
"291",2023-10-13,"00:30:00",27.35,69,NA,0,0
"292",2023-10-13,"00:45:00",27.1,71,NA,0,0
"293",2023-10-13,"01:00:00",26.7,72,NA,0,0
"294",2023-10-13,"01:15:00",26.36,73,NA,0,0
"295",2023-10-13,"01:30:00",26.07,76,NA,0,0
"296",2023-10-13,"01:45:00",25.9,76,NA,0,0
"297",2023-10-13,"02:00:00",25.88,76,NA,0,0
"298",2023-10-13,"02:15:00",25.71,75,NA,0,0
"299",2023-10-13,"02:30:00",25.52,77,NA,0,0
"300",2023-10-13,"02:45:00",25.41,76,NA,0,0
"301",2023-10-13,"03:00:00",25.35,75,NA,0,0
"302",2023-10-13,"03:15:00",24.98,77,NA,0,0
"303",2023-10-13,"03:30:00",24.97,77,NA,0.112,0
"304",2023-10-13,"03:45:00",25,77,NA,0,0
"305",2023-10-13,"04:00:00",24.82,77,NA,0,0
"306",2023-10-13,"04:15:00",24.7,78,NA,0,0
"307",2023-10-13,"04:30:00",24.68,78,NA,0,0
"308",2023-10-13,"04:45:00",24.55,79,NA,0,0
"309",2023-10-13,"05:00:00",24.48,78,NA,0,0
"310",2023-10-13,"05:15:00",24.19,79,NA,0,0
"311",2023-10-13,"05:30:00",24.23,80,NA,0,0
"312",2023-10-13,"05:45:00",24.1,79,NA,0,0
"313",2023-10-13,"06:00:00",23.97,80,NA,0.112,0
"314",2023-10-13,"06:15:00",24,80,NA,0,0
"315",2023-10-13,"06:30:00",23.77,81,NA,0,0
"316",2023-10-13,"06:45:00",23.8,81,NA,0.112,0
"317",2023-10-13,"07:00:00",23.62,82,NA,0,0
"318",2023-10-13,"07:15:00",23.51,82,NA,0,0
"319",2023-10-13,"07:30:00",23.38,82,NA,0,0
"320",2023-10-13,"07:45:00",23.3,82,NA,6.71,0
"321",2023-10-13,"08:00:00",23.51,82,NA,13.42,0
"322",2023-10-13,"08:15:00",23.71,82,NA,33.66,0
"323",2023-10-13,"08:30:00",24.12,83,NA,33.55,0
"324",2023-10-13,"08:45:00",24.76,83,NA,53.67,0
"325",2023-10-13,"09:00:00",25.37,80,NA,50.76,0
"326",2023-10-13,"09:15:00",26.04,79,NA,53.87,0
"327",2023-10-13,"09:30:00",26.75,78,NA,97.6,0
"328",2023-10-13,"09:45:00",27.76,76,NA,140.8,0
"329",2023-10-13,"10:00:00",28.44,73,NA,160.6,0
"330",2023-10-13,"10:15:00",29.15,70,NA,180.2,0
"331",2023-10-13,"10:30:00",30.24,63,NA,220.9,0.075
"332",2023-10-13,"10:45:00",30.98,60,NA,234,0
"333",2023-10-13,"11:00:00",32,57,NA,262.1,1.746
"334",2023-10-13,"11:15:00",32.58,53,NA,274.6,1.826
"335",2023-10-13,"11:30:00",33.39,52,NA,283.9,1.725
"336",2023-10-13,"11:45:00",34.11,50,NA,301.5,0.042
"337",2023-10-13,"12:00:00",34.51,49,NA,313.8,0.206
"338",2023-10-13,"12:15:00",35.1,48,NA,308.3,0.256
"339",2023-10-13,"12:30:00",35.63,45,NA,320.9,0.51
"340",2023-10-13,"12:45:00",36.06,43,NA,300.7,0.147
"341",2023-10-13,"13:00:00",36.57,37,NA,333,1.455
"342",2023-10-13,"13:15:00",37.17,38,NA,363,0.234
"343",2023-10-13,"13:30:00",37.61,36,NA,327.4,0.673
"344",2023-10-13,"13:45:00",37.66,33,NA,325.2,0.072
"345",2023-10-13,"14:00:00",38.38,33,NA,341.6,0.738
"346",2023-10-13,"14:15:00",39.03,29,NA,220.8,1.259
"347",2023-10-13,"14:30:00",37.47,31,NA,314.7,0.23
"348",2023-10-13,"14:45:00",38.44,29,NA,232.1,1.927
"349",2023-10-13,"15:00:00",38.46,32,NA,295.2,0.444
"350",2023-10-13,"15:15:00",38.13,32,NA,206.1,1.965
"351",2023-10-13,"15:30:00",38.21,32,NA,223.8,0.544
"352",2023-10-13,"15:45:00",36.94,35,NA,120.7,0
"353",2023-10-13,"16:00:00",36.44,36,NA,128.8,0
"354",2023-10-13,"16:15:00",36.33,36,NA,80.4,0.477
"355",2023-10-13,"16:30:00",35.29,39,NA,156,0.008
"356",2023-10-13,"16:45:00",35.62,39,NA,156.1,0.111
"357",2023-10-13,"17:00:00",35.65,38,NA,127.3,0
"358",2023-10-13,"17:15:00",35.2,39,NA,82.7,0
"359",2023-10-13,"17:30:00",34.79,39,NA,93.8,0
"360",2023-10-13,"17:45:00",34.19,40,NA,53.59,1.111
"361",2023-10-13,"18:00:00",33.68,42,NA,37.96,0
"362",2023-10-13,"18:15:00",32.99,41,NA,27.58,0
"363",2023-10-13,"18:30:00",32.77,44,NA,13.4,0
"364",2023-10-13,"18:45:00",32.45,46,NA,6.701,0
"365",2023-10-13,"19:00:00",32.11,47,NA,0,0
"366",2023-10-13,"19:15:00",31.51,49,NA,0,0.083
"367",2023-10-13,"19:30:00",31.19,52,NA,0,0
"368",2023-10-13,"19:45:00",30.88,54,NA,0,0
"369",2023-10-13,"20:00:00",30.62,55,NA,0,0
"370",2023-10-13,"20:15:00",30.37,57,NA,0,0
"371",2023-10-13,"20:30:00",30.09,58,NA,0,0
"372",2023-10-13,"20:45:00",30,59,NA,0,0
"373",2023-10-13,"21:00:00",29.82,62,NA,0,0
"374",2023-10-13,"21:15:00",29.61,62,NA,0,0
"375",2023-10-13,"21:30:00",29.38,62,NA,0,0
"376",2023-10-13,"21:45:00",29.22,62,NA,0,0
"377",2023-10-13,"22:00:00",29.11,63,NA,0,0
"378",2023-10-13,"22:15:00",29.02,64,NA,0,0
"379",2023-10-13,"22:30:00",28.97,66,NA,0,0
"380",2023-10-13,"22:45:00",28.8,65,NA,0,0
"381",2023-10-13,"23:00:00",28.68,66,NA,0,0
"382",2023-10-13,"23:15:00",28.5,66,NA,0,0
"383",2023-10-13,"23:30:00",28.39,66,NA,0,0
"384",2023-10-13,"23:45:00",28.22,67,NA,0,0
"385",2023-10-14,"00:00:00",28.17,68,NA,0,0
"386",2023-10-14,"00:15:00",27.96,68,NA,0,0
"387",2023-10-14,"00:30:00",27.88,69,NA,0,0
"388",2023-10-14,"00:45:00",27.78,69,NA,0,0
"389",2023-10-14,"01:00:00",27.6,70,NA,0,0
"390",2023-10-14,"01:15:00",27.47,72,NA,0,0
"391",2023-10-14,"01:30:00",27.2,73,NA,0,0
"392",2023-10-14,"01:45:00",26.96,73,NA,0,0
"393",2023-10-14,"02:00:00",26.56,75,NA,0,0
"394",2023-10-14,"02:15:00",26.28,76,NA,0,0
"395",2023-10-14,"02:30:00",26.22,78,NA,0,0
"396",2023-10-14,"02:45:00",26.11,79,NA,0,0
"397",2023-10-14,"03:00:00",25.94,78,NA,0,0
"398",2023-10-14,"03:15:00",25.83,78,NA,0,0
"399",2023-10-14,"03:30:00",25.62,79,NA,0,0
"400",2023-10-14,"03:45:00",25.53,79,NA,0,0
"401",2023-10-14,"04:00:00",25.46,80,NA,0,0
"402",2023-10-14,"04:15:00",25.5,80,NA,0.112,0
"403",2023-10-14,"04:30:00",25.38,79,NA,0,0
"404",2023-10-14,"04:45:00",25.28,79,NA,0,0
"405",2023-10-14,"05:00:00",25.14,81,NA,0,0
"406",2023-10-14,"05:15:00",25.09,81,NA,0,0
"407",2023-10-14,"05:30:00",25.01,80,NA,0,0
"408",2023-10-14,"05:45:00",24.96,81,NA,0,0
"409",2023-10-14,"06:00:00",24.9,82,NA,0,0
"410",2023-10-14,"06:15:00",24.87,82,NA,0,0
"411",2023-10-14,"06:30:00",24.67,82,NA,0,0
"412",2023-10-14,"06:45:00",24.48,84,NA,0,0
"413",2023-10-14,"07:00:00",24.57,83,NA,0,0
"414",2023-10-14,"07:15:00",24.36,84,NA,0,0
"415",2023-10-14,"07:30:00",24.24,84,NA,0.224,0
"416",2023-10-14,"07:45:00",24.4,84,NA,6.71,0
"417",2023-10-14,"08:00:00",24.57,85,NA,13.75,0
"418",2023-10-14,"08:15:00",24.74,85,NA,26.83,0
"419",2023-10-14,"08:30:00",25.06,86,NA,34.1,0
"420",2023-10-14,"08:45:00",25.5,85,NA,53.66,0
"421",2023-10-14,"09:00:00",26,84,NA,53.65,0
"422",2023-10-14,"09:15:00",26.77,82,NA,87.2,0
