unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;;;10/10/2023 09:56;10/10/2023 14:34;11/10/2023 12:28;11/10/2023 14:28;12/10/2023 10:32;12/10/2023 14:38;13/10/2023 10:02;13/10/2023 14:33;17/10/2023 15:13;18/10/2023 08:30;18/10/2023 14:48;19/10/2023 07:55;19/10/2023 14:38;20/10/2023 10:51;21/10/2023 08:13;21/10/2023 15:21
28:03:01;28:03:01;Exp60;WW_R1;Sorghum;Exp60_180_IS21519;Exp60_180_IS21519;1;Exp60_180_IS21519_WW_R1;10/10/2023 08:40;104705;;;;;;;;;;;;;;;;;
28:03:02;28:03:02;Exp60;WW_R1;Sorghum;Exp60_298_IS33261;Exp60_298_IS33261;1;Exp60_298_IS33261_WW_R1;10/10/2023 08:40;88599;;;;;;;;;;;;;;;;;
28:04:01;28:04:01;Exp60;WW_R1;Sorghum;Exp60_52_IS5910;Exp60_52_IS5910;1;Exp60_52_IS5910_WW_R1;10/10/2023 08:40;143687;;;;;;;;;;;;;;;;;
28:04:02;28:04:02;Exp60;WW_R1;Sorghum;Exp60_104_IS14216;Exp60_104_IS14216;1;Exp60_104_IS14216_WW_R1;10/10/2023 08:40;83533.4;;;;;;;;;;;;;;;;;
28:05:01;28:05:01;Exp60;WW_R1;Sorghum;Exp60_74_IS9527;Exp60_74_IS9527;1;Exp60_74_IS9527_WW_R1;10/10/2023 08:40;106350;;;;;;;;;;;;;;;;;
28:05:02;28:05:02;Exp60;WW_R1;Sorghum;Exp60_106_IS14276;Exp60_106_IS14276;1;Exp60_106_IS14276_WW_R1;10/10/2023 08:40;115321;;;;;;;;;;;;;;;;;
28:06:01;28:06:01;Exp60;WW_R1;Sorghum;Exp60_308_SSM1123;Exp60_308_SSM1123;1;Exp60_308_SSM1123_WW_R1;10/10/2023 08:40;104538;;;;;;;;;;;;;;;;;
28:06:02;28:06:02;Exp60;WW_R1;Sorghum;Exp60_301_IS36633;Exp60_301_IS36633;1;Exp60_301_IS36633_WW_R1;10/10/2023 08:40;93672.2;;;;;;;;;;;;;;;;;
28:07:01;28:07:01;Exp60;WW_R1;Sorghum;Exp60_41_IS4035;Exp60_41_IS4035;1;Exp60_41_IS4035_WW_R1;10/10/2023 08:40;76137.4;;;;;;;;;;;;;;;;;
28:07:02;28:07:02;Exp60;WW_R1;Sorghum;Exp60_136_IS18829;Exp60_136_IS18829;1;Exp60_136_IS18829_WW_R1;10/10/2023 08:40;100892;;;;;;;;;;;;;;;;;
