"","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"2023-10-02",0,0,0,0,0.094,0,0,0.001,0,0,0,0,0,0,0
"2023-10-03",0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0.015
"2023-10-04",0,0,0.001,0.001,0.017,0,0,0.001,0,0,0.001,0,0,0.001,0.035
"2023-10-05",0,0.001,0.001,0.001,0.011,0.043,0,0,0,0,0.001,0.001,0.016,0.001,0.047
"2023-10-06",0,0,0,0.02,0.001,0.037,0.001,0.001,0.001,0.989,0.001,0.001,0.99,0.001,0.011
"2023-10-07",0,0.001,0.035,0,0.058,0,0.002,0.002,0.002,0.043,0.002,0.002,0.041,0.001,0.047
"2023-10-08",0,0,0,0,0,0,0.018,0,0.064,0.017,0,0.493,0.005,0,0
"2023-10-09",0,0.002,0.002,0.001,0.002,0.063,0,0.045,0.015,0.065,0,0.019,0.092,0.02,0.023
