"","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"2023-10-02",0.107,0,0,0,0.016,0,0.006,0,0.001,0.052,0.002,0.002,0.058,0.007,0.007
"2023-10-03",0.107,0,0,0.011,0,0,0.001,0,0,0,0.001,0,0,0,0
"2023-10-04",0.107,0,0,0,0,0.002,0,0.001,0,0,0.001,0,0,0.001,0.001
"2023-10-05",0.107,0,0,0,0.003,0,0.001,0.001,0,0.153,0.001,0.001,0.109,0,0
"2023-10-06",0.107,0,0,0.002,0,0,0.002,0.003,0,0.024,0.002,0,0.058,0.001,0
"2023-10-07",0.107,0,0.011,0.003,0.004,0,0.001,0.001,0.001,0.88,0.002,0,0,0,0.014
"2023-10-08",0.107,0,0,0,0.003,0,0.001,0,0,0,0.001,0,0,0.002,0
"2023-10-09",0.107,0,0,0.001,0.001,0.085,0.001,0.01,0,0.002,0,0,0.002,0,0.063
